Table 2
Results from Isochrone Fitting
Name [Fe/H] [alpha/Fe] DM_F814W E(6 - 8) Age (Gyr) 
arp2 -1.80 0.2 17.55 0.113 13.00 +or- 0.75 
lynga7 -0.60 0.2 15.80 0.713 12.50 +or- 1.00 
ngc0104 -0.70 0.2 13.30 0.023 12.75 +or- 0.50 
ngc0288 -1.40 0.4 14.85 0.013 12.50 +or- 0.50 
ngc0362 -1.30 0.2 14.80 0.023 11.50 +or- 0.50 
ngc1261 -1.35 0.2 16.10 0.013 11.50 +or- 0.50 
ngc2298 -1.90 0.2 15.43 0.237 13.00 +or- 1.00 
ngc3201 -1.50 0.2 13.90 0.268 12.00 +or- 0.75 
ngc4147 -1.70 0.2 16.48 0.018 12.75 +or- 0.75 
ngc4590 -2.30 0.2 15.30 0.056 13.00 +or- 1.00 
ngc4833 -2.30 0.4 14.84 0.353 13.00 +or- 1.25 
ngc5024 -2.00 0.2 16.43 0.023 13.25 +or- 0.50 
ngc5053 -2.40 0.2 16.32 0.021 13.50 +or- 0.75 
ngc5272 -1.60 0.2 15.08 0.018 12.50 +or- 0.50 
ngc5286 -1.70 0.0 15.75 0.263 13.00 +or- 1.00 
ngc5466 -2.10 0.2 16.12 0.023 13.00 +or- 0.75 
ngc5904 -1.30 0.2 14.38 0.033 12.25 +or- 0.75 
ngc5927 -0.50 0.2 15.30 0.393 12.25 +or- 0.75 
ngc5986 -1.60 0.2 15.73 0.295 13.25 +or- 1.00 
ngc6093 -1.70 0.2 15.55 0.213 13.50 +or- 1.00 
ngc6101 -1.80 0.2 16.03 0.113 13.00 +or- 1.00 
ngc6121 -1.20 0.4 12.20 0.423 12.50 +or- 0.50 
ngc6144 -1.80 0.2 15.40 0.448 13.50 +or- 1.00 
ngc6171 -1.00 0.2 14.45 0.418 12.75 +or- 0.75 
ngc6205 -1.60 0.2 14.47 0.019 13.00 +or- 0.50 
ngc6218 -1.30 0.2 13.90 0.191 13.25 +or- 0.75 
ngc6254 -1.55 0.2 14.15 0.261 13.00 +or- 1.25 
ngc6304 -0.50 0.2 14.87 0.473 12.75 +or- 0.75 
ngc6341 -2.40 0.2 14.80 0.031 13.25 +or- 1.00 
ngc6352 -0.80 0.4 14.10 0.253 13.00 +or- 0.50 
ngc6362 -1.10 0.4 14.55 0.070 12.50 +or- 0.50 
ngc6366 -0.70 0.2 14.00 0.718 12.00 +or- 0.75 
ngc6397 -2.10 0.2 12.40 0.183 13.50 +or- 0.50 
ngc6496 -0.50 0.2 15.35 0.213 12.00 +or- 0.75 
ngc6535 -1.90 0.2 14.85 0.443 13.25 +or- 1.00 
ngc6541 -1.90 0.4 14.68 0.118 13.25 +or- 1.00 
ngc6584 -1.40 0.2 15.85 0.078 12.25 +or- 0.75 
ngc6624 -0.50 0.0 15.05 0.253 13.00 +or- 0.75 
ngc6637 -0.70 0.2 15.05 0.163 12.50 +or- 0.75 
ngc6652 -0.75 0.2 15.05 0.113 13.25 +or- 0.50 
ngc6681 -1.50 0.2 15.05 0.098 13.00 +or- 0.75 
ngc6717 -1.10 0.2 14.78 0.203 13.00 +or- 0.75 
ngc6723 -1.00 0.2 14.67 0.073 12.75 +or- 0.50 
ngc6752 -1.50 0.2 13.26 0.053 12.50 +or- 0.75 
ngc6779 -2.20 0.2 15.65 0.248 13.50 +or- 1.00 
ngc6809 -1.80 0.2 13.88 0.113 13.50 +or- 1.00 
ngc6838 -0.70 0.2 13.40 0.223 12.50 +or- 0.75 
ngc6934 -1.55 0.2 16.23 0.108 12.00 +or- 0.75 
ngc6981 -1.50 0.2 16.20 0.048 12.75 +or- 0.75 
ngc7078 -2.40 0.2 15.40 0.083 13.25 +or- 1.00 
ngc7089 -1.60 0.2 15.48 0.048 12.50 +or- 0.75 
ngc7099 -2.40 0.2 14.82 0.053 13.25 +or- 1.00 
palomar12 -0.80 0.0 16.40 0.033 9.50 +or- 0.75 
terzan7 -0.60 0.0 17.15 0.073 8.00 +or- 0.75 
terzan8 -2.40 0.4 17.50 0.133 13.50 +or- 0.50 
