# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Thu Mar 12 11:40:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: HST/ACS WFC
# Attention: photometry includes extinction of Av=0.31, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F502Nmag  F550Mmag  F555Wmag  F606Wmag  F625Wmag  F658Nmag  F660Nmag  F775Wmag  F814Wmag  F850LPmag
0.00027635 -1.75000 10.11400 0.0900000036 1.0816895962    0.090 -3.193  3.4835  5.471    1  0.000  0.545     0.00     0.00 -1 -4.94e-17      0.00 7.480e-01 2.517e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 12.752 17.573 16.621 17.089 15.165 15.560 14.682 14.296 13.199 13.207 12.442 12.199 11.724
0.00027635 -1.75000 10.11400 0.0957161188 1.1342914104    0.096 -2.989  3.5133  5.413    1  0.000  0.545     0.00     0.00 -1  -8.2e-17      0.00 7.466e-01 2.531e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.058e-04 12.242 16.336 15.525 15.758 14.055 14.447 13.721 13.337 12.525 12.564 11.901 11.701 11.285
0.00027635 -1.75000 10.11400 0.0999999940 1.1711063385    0.100 -2.844  3.5344  5.372    1  0.000  0.545     0.00     0.00 -1 -1.17e-16      0.00 7.454e-01 2.542e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 11.881 15.526 14.793 14.902 13.414 13.777 13.100 12.720 12.071 12.129 11.520 11.343 10.961
0.00027635 -1.75000 10.11400 0.1199999973 1.3193154335    0.120 -2.553  3.5653  5.283    1  0.000  0.545     0.00     0.00 -1 -2.32e-16      0.00 7.421e-01 2.576e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.058e-04 11.151 14.214 13.578 13.543 12.385 12.696 12.065 11.697 11.234 11.311 10.764 10.616 10.275
0.00027635 -1.75000 10.11400 0.1400000006 1.4384527206    0.140 -2.368  3.5802  5.225    1  0.000  0.545     0.00     0.00 -1 -3.51e-16      0.00 7.399e-01 2.598e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 10.691 13.506 12.909 12.816 11.805 12.092 11.493 11.136 10.730 10.813 10.292 10.156 9.832
0.00027635 -1.75000 10.11400 0.1599999964 1.5372931957    0.160 -2.224  3.5900  5.178    1  0.000  0.545     0.00     0.00 -1 -4.83e-16      0.00 7.385e-01 2.612e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.058e-04 10.330 12.994 12.420 12.292 11.372 11.644 11.072 10.725 10.344 10.429 9.925 9.795 9.482
0.00027635 -1.75000 10.11400 0.2000000179 1.6938792467    0.200 -2.003  3.6025  5.104    1  0.000  0.545     0.00     0.00 -1 -7.83e-16      0.00 7.376e-01 2.621e-01 5.500e-05 1.484e-05 1.346e-04 -1.000 3.058e-04 9.778 12.263 11.716 11.557 10.733 10.988 10.452 10.120 9.759 9.845 9.365 9.241 8.941
0.00027635 -1.75000 10.11400 0.2500000298 1.8403259516    0.250 -1.802  3.6135  5.044    1  0.000  0.545     0.00     0.00 -1 -3.23e-16      0.00 7.378e-01 2.619e-01 5.499e-05 1.484e-05 1.346e-04 -1.000 3.059e-04 9.274 11.612 11.088 10.909 10.156 10.398 9.893 9.574 9.227 9.313 8.853 8.735 8.447
0.00027635 -1.75000 10.11400 0.3000000417 1.9529141188    0.300 -1.648  3.6224  5.004    1  0.000  0.545     0.00     0.00 -1 -6.23e-16      0.00 7.379e-01 2.618e-01 5.498e-05 1.484e-05 1.346e-04 -1.000 3.060e-04 8.889 11.114 10.608 10.417 9.715 9.945 9.466 9.157 8.819 8.905 8.462 8.349 8.070
0.00027635 -1.75000 10.11400 0.3500000238 2.0434176922    0.350 -1.521  3.6304  4.977    1  0.000  0.544     0.00     0.00 -1 -1.09e-15      0.00 7.377e-01 2.620e-01 5.495e-05 1.484e-05 1.346e-04 -1.000 3.077e-04 8.574 10.702 10.210 10.012 9.351 9.572 9.114 8.815 8.484 8.570 8.142 8.032 7.762
