                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210120"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.4999999999999956E-001                 -1.6591550305861723E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6897195112503467E+000                  1.8633639042970405E+000                  1.0755017661004542E+000                  2.1619470846039164E+000                 -3.5228787452803854E+000                 -5.3490740108238122E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254497506962148E+000                  5.6993013914599739E+000                  8.4822319528628912E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584077E-005                  7.5910000000000011E-001                  2.5604682290799828E-005                  2.4057439531770919E-001                  5.1624109885584084E-005                  1.4040673919659763E-004                  4.9023392258781306E-001                 -8.7468016470489948E-002                  6.5625561197244009E-001                 -1.1951112051043160E+000                 -1.1269333018847938E+000                 -2.7410451075227515E-001                  2.7576837837780649E-001                  7.8959403156651964E-001                  1.6905825572788902E-001                 -5.7466537271504103E-001                  1.2767014443617151E+000                  1.2085235411421928E+000                  3.5569475000967421E-001                 -1.9417813912040743E-001                 -7.0800379230912058E-001                                        5 
                 2.5958682111999992E-004                  7.4999999999998812E-001                 -1.6591550765040736E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6879476817182919E+000                  1.8559907334752321E+000                  1.0753588397536595E+000                  2.1622329372974991E+000                 -3.5228787452803854E+000                 -4.2695278249754290E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254496233864979E+000                  5.6993014758195830E+000                  8.4822311340615700E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584084E-005                  7.5910000000000000E-001                  2.5604682290799828E-005                  2.4057439531770922E-001                  5.1624109885584077E-005                  1.4040673919659763E-004                  4.9023392258781306E-001                 -9.1831777126746478E-002                  6.5741556760426123E-001                 -1.2134285120594270E+000                 -1.1387118034868680E+000                 -2.8030788963865905E-001                  2.7322908083042308E-001                  7.9052035168399448E-001                  1.9185494343866646E-001                 -5.5739240129234124E-001                  1.3134516783713470E+000                  1.2387349697987879E+000                  3.8033105595057903E-001                 -1.7320591451850309E-001                 -6.9049718537207450E-001                                        4 
                 1.8668799962237360E-003                  7.4999999999991696E-001                 -1.6591550960143419E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6824449745174443E+000                  1.8329810618576772E+000                  1.0748594183465758E+000                  2.1632317801116252E+000                 -3.5228787452803854E+000                 -1.7579386123500684E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254493139619270E+000                  5.6993016813334121E+000                  8.4822291346222656E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584084E-005                  7.5910000000000011E-001                  2.5604682290799841E-005                  2.4057439531770924E-001                  5.1624109885584097E-005                  1.4040673919659763E-004                  4.9023392258781323E-001                 -1.0809076865488246E-001                  6.5853757597306550E-001                 -1.2703159077342414E+000                 -1.1752918685988234E+000                 -2.9957349839300967E-001                  2.6534287656098043E-001                  7.9339719046676271E-001                  2.6563811401068960E-001                 -5.0099023061725834E-001                  1.4278632530900486E+000                  1.3328392139546306E+000                  4.5712084374881684E-001                 -1.0779553120517327E-001                 -6.3584984511095555E-001                                        4 
                 1.1818815689988476E-002                  7.4999999999950306E-001                 -1.6591546559678438E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6769200469661603E+000                  1.8095111950129685E+000                  1.0741743400267905E+000                  2.1646019367509561E+000                 -3.5228787452803854E+000                 -2.4325635540858341E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254487760780811E+000                  5.6993020420108182E+000                  8.4822255920258410E-002                  7.5910000000000000E-001                  2.4057439531770922E-001                  5.1624109885584084E-005                  7.5910000000000000E-001                  2.5604682290799831E-005                  2.4057439531770919E-001                  5.1624109885584090E-005                  1.4040673919659766E-004                  4.9023392258781306E-001                 -1.2747250139673255E-001                  6.5685903861580464E-001                 -1.3292255049834045E+000                 -1.2134543562389655E+000                 -3.2008757369261531E-001                  2.5647592379376921E-001                  7.9551231734709082E-001                  3.4369451386431166E-001                 -4.4063702614822553E-001                  1.5454475174509836E+000                  1.4296763687065446E+000                  5.3630958616019442E-001                 -4.0253911326190106E-002                 -5.7929030487951172E-001                                        5 
                 7.3438578398454205E-002                  7.4999999999701761E-001                 -1.6591511320932927E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6755109698961448E+000                  1.8032007946518414E+000                  1.0738372939862579E+000                  2.1652760288305819E+000                 -3.5228787452803854E+000                 -1.1656247657233890E-004                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254454464567176E+000                  5.6993042746771962E+000                  8.4822036627402439E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584090E-005                  7.5909999999999989E-001                  2.5604682290799824E-005                  2.4057439531770922E-001                  5.1624109885584084E-005                  1.4040673919659763E-004                  4.9023392258781306E-001                 -1.3241477142532715E-001                  6.5642609697161503E-001                 -1.3443771568629230E+000                 -1.2232892477359083E+000                 -3.2540265619905379E-001                  2.5414707856126678E-001                  7.9599681499124875E-001                  3.6441278479572431E-001                 -4.2442808360121786E-001                  1.5763751702333202E+000                  1.4552872611063055E+000                  5.5740066956945089E-001                 -2.2149065190869621E-002                 -5.6399880162085159E-001                                        5 
                 4.5497190750010674E-001                  7.4999999998170297E-001                 -1.6591235956239704E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6754258892742051E+000                  1.8026917418996504E+000                  1.0737529288540415E+000                  2.1654447590861468E+000                 -3.5228787452803854E+000                 -5.7953395703229097E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254178273697192E+000                  5.6993227320198656E+000                  8.4820229838073399E-002                  7.5910000000000000E-001                  2.4057439531770916E-001                  5.1624109885584077E-005                  7.5910000000000011E-001                  2.5604682290799831E-005                  2.4057439531770922E-001                  5.1624109885584084E-005                  1.4040673919659758E-004                  4.9023392258781323E-001                 -1.3271313111516431E-001                  6.5639794511634075E-001                 -1.3452920193197662E+000                 -1.2238830821949640E+000                 -3.2572358288604675E-001                  2.5400646200751043E-001                  7.9602606914179241E-001                  3.6598377636603846E-001                 -4.2312729986546660E-001                  1.5785626645706403E+000                  1.4571537274458382E+000                  5.5899422813692090E-001                 -2.0735816756636272E-002                 -5.6275542389091826E-001                                        5 
                 2.8173257176583335E+000                  7.4999999988693711E-001                 -1.6589433200352854E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6754319980405059E+000                  1.8025029085284927E+000                  1.0736462946358616E+000                  2.1656580274676318E+000                 -3.5228787452803854E+000                 -3.6048985031246750E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3252074498345969E+000                  5.6994630442596073E+000                  8.4806523135932108E-002                  7.5910000000000000E-001                  2.4057439531770916E-001                  5.1624109885584077E-005                  7.5910000000000000E-001                  2.5604682290799828E-005                  2.4057439531770919E-001                  5.1624109885584097E-005                  1.4040673919659761E-004                  4.9023392258781334E-001                 -1.3269164377358061E-001                  6.5639641454742137E-001                 -1.3452263321418323E+000                 -1.2238404448460563E+000                 -3.2570054033114182E-001                  2.5401655828429820E-001                  7.9602396869207170E-001                  3.6643437245234894E-001                 -4.2265368586865304E-001                  1.5789690608206006E+000                  1.4575831735248246E+000                  5.5944326900991015E-001                 -2.0273829605529869E-002                 -5.6228124001330337E-001                                        5 
                 1.7444397846610439E+001                  7.4999999930138317E-001                 -1.6579281906017528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6754789203739273E+000                  1.8014434583785153E+000                  1.0730227248940289E+000                  2.1669051666122270E+000                 -3.5228787452803854E+000                 -3.5303396498809084E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3238289289980063E+000                  5.7003814048247472E+000                  8.4716968163905851E-002                  7.5910000000000000E-001                  2.4057439531770922E-001                  5.1624109885584084E-005                  7.5909999999999989E-001                  2.5604682290799824E-005                  2.4057439531770913E-001                  5.1624109885584084E-005                  1.4040673919659758E-004                  4.9023392258781323E-001                 -1.3252673141883115E-001                  6.5639081212866102E-001                 -1.3447217797594029E+000                 -1.2235129414177055E+000                 -3.2552354725060140E-001                  2.5409410919555936E-001                  7.9600783484458204E-001                  3.6891808547254307E-001                 -4.1999945807494909E-001                  1.5811131338131148E+000                  1.4599042954714174E+000                  5.6191490130431332E-001                 -1.7702755141847437E-002                 -5.5961648079087012E-001                                        5 
                 1.0801137310051506E+002                  7.4999999572084441E-001                 -1.6518793052105718E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6757645251188831E+000                  1.7950031032337248E+000                  1.0692313378317233E+000                  2.1744879386634937E+000                 -3.5228787452803854E+000                 -3.4163851115466771E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3139167173315007E+000                  5.7046985587706276E+000                  8.4519578300959741E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584084E-005                  7.5909999999999989E-001                  2.5604682290799821E-005                  2.4057439531770916E-001                  5.1624109885584084E-005                  1.4040673919659758E-004                  4.9023392258781323E-001                 -1.3152374229015085E-001                  6.5635655944342952E-001                 -1.3416506928398766E+000                 -1.2215195081688828E+000                 -3.2444623366845721E-001                  2.5456614262056215E-001                  7.9590963206185272E-001                  3.8401598420583938E-001                 -4.0386431752774099E-001                  1.5941429347555651E+000                  1.4740117500845713E+000                  5.7693847558414579E-001                 -2.0739007048736213E-003                 -5.4341739014616419E-001                                        5 
