#Teff log_g M_div_h F606W F814W 
6157.8947 0 -1.2142857 0.145 0.56
4052.6316 1.5789474 0.5 -0.642 0.621
4315.7895 1.5789474 -2.5 -0.331 0.633
3263.1579 0 -2.0714286 -1.769 0.265
4315.7895 1.5789474 -2.0714286 -0.327 0.621
4315.7895 1.5789474 -1.6428571 -0.321 0.616
4315.7895 1.5789474 -1.2142857 -0.314 0.617
4315.7895 1.5789474 -0.78571429 -0.306 0.625
4315.7895 1.5789474 -0.35714286 -0.298 0.639
4315.7895 1.5789474 0.071428571 -0.297 0.659
4315.7895 1.5789474 0.5 -0.314 0.685
4578.9474 1.5789474 -2.5 -0.201 0.662
6157.8947 0 -0.78571429 0.185 0.596
4578.9474 1.5789474 -2.0714286 -0.195 0.658
4578.9474 1.5789474 -1.6428571 -0.188 0.656
4578.9474 1.5789474 -1.2142857 -0.178 0.658
4578.9474 1.5789474 -0.78571429 -0.166 0.666
4578.9474 1.5789474 -0.35714286 -0.153 0.681
4578.9474 1.5789474 0.071428571 -0.14 0.701
4578.9474 1.5789474 0.5 -0.135 0.728
4842.1053 1.5789474 -2.5 -0.111 0.662
4842.1053 1.5789474 -2.0714286 -0.103 0.666
4842.1053 1.5789474 -1.6428571 -0.093 0.669
6157.8947 0 -0.35714286 0.214 0.619
4842.1053 1.5789474 -1.2142857 -0.081 0.675
4842.1053 1.5789474 -0.78571429 -0.066 0.685
4842.1053 1.5789474 -0.35714286 -0.049 0.701
4842.1053 1.5789474 0.071428571 -0.03 0.724
4842.1053 1.5789474 0.5 -0.016 0.753
5105.2632 1.5789474 -2.5 -0.049 0.645
3000 0 -2.5 -2.018 0.334
5105.2632 1.5789474 -2.0714286 -0.039 0.652
5105.2632 1.5789474 -1.6428571 -0.027 0.661
5105.2632 1.5789474 -1.2142857 -0.012 0.672
5105.2632 1.5789474 -0.78571429 0.006 0.685
6157.8947 0 0.071428571 0.228 0.633
5105.2632 1.5789474 -0.35714286 0.026 0.702
5105.2632 1.5789474 0.071428571 0.048 0.727
5105.2632 1.5789474 0.5 0.068 0.76
5368.4211 1.5789474 -2.5 -0.002 0.62
5368.4211 1.5789474 -2.0714286 0.007 0.627
5368.4211 1.5789474 -1.6428571 0.02 0.639
5368.4211 1.5789474 -1.2142857 0.038 0.653
5368.4211 1.5789474 -0.78571429 0.058 0.669
5368.4211 1.5789474 -0.35714286 0.081 0.689
5368.4211 1.5789474 0.071428571 0.106 0.716
6157.8947 0 0.5 0.252 0.671
5368.4211 1.5789474 0.5 0.13 0.751
5631.5789 1.5789474 -2.5 0.033 0.59
5631.5789 1.5789474 -2.0714286 0.042 0.598
5631.5789 1.5789474 -1.6428571 0.055 0.608
5631.5789 1.5789474 -1.2142857 0.073 0.623
5631.5789 1.5789474 -0.78571429 0.095 0.642
5631.5789 1.5789474 -0.35714286 0.121 0.665
5631.5789 1.5789474 0.071428571 0.149 0.693
5631.5789 1.5789474 0.5 0.176 0.729
5894.7368 1.5789474 -2.5 0.061 0.556
5894.7368 1.5789474 -2.0714286 0.07 0.563
6421.0526 0 -2.5 0.116 0.505
5894.7368 1.5789474 -1.6428571 0.083 0.574
5894.7368 1.5789474 -1.2142857 0.1 0.588
5894.7368 1.5789474 -0.78571429 0.122 0.608
5894.7368 1.5789474 -0.35714286 0.149 0.631
5894.7368 1.5789474 0.071428571 0.18 0.661
5894.7368 1.5789474 0.5 0.209 0.696
6157.8947 1.5789474 -2.5 0.084 0.519
6157.8947 1.5789474 -2.0714286 0.092 0.526
6157.8947 1.5789474 -1.6428571 0.104 0.535
6157.8947 1.5789474 -1.2142857 0.12 0.549
6421.0526 0 -2.0714286 0.122 0.508
6157.8947 1.5789474 -0.78571429 0.143 0.568
6157.8947 1.5789474 -0.35714286 0.171 0.592
6157.8947 1.5789474 0.071428571 0.201 0.621
6157.8947 1.5789474 0.5 0.232 0.656
6421.0526 1.5789474 -2.5 0.101 0.48
6421.0526 1.5789474 -2.0714286 0.108 0.486
6421.0526 1.5789474 -1.6428571 0.119 0.495
6421.0526 1.5789474 -1.2142857 0.134 0.508
6421.0526 1.5789474 -0.78571429 0.156 0.525
6421.0526 1.5789474 -0.35714286 0.182 0.548
6421.0526 0 -1.6428571 0.131 0.521
6421.0526 1.5789474 0.071428571 0.214 0.577
6421.0526 1.5789474 0.5 0.247 0.611
6684.2105 1.5789474 -2.5 0.111 0.436
6684.2105 1.5789474 -2.0714286 0.119 0.441
6684.2105 1.5789474 -1.6428571 0.129 0.449
6684.2105 1.5789474 -1.2142857 0.143 0.46
6684.2105 1.5789474 -0.78571429 0.162 0.476
6684.2105 1.5789474 -0.35714286 0.189 0.495
6684.2105 1.5789474 0.071428571 0.211 0.52
6421.0526 0 -1.2142857 0.142 0.531
6684.2105 1.5789474 0.5 0.25 0.556
6947.3684 1.5789474 -2.5 0.123 0.39
6947.3684 1.5789474 -2.0714286 0.129 0.393
6947.3684 1.5789474 -1.6428571 0.136 0.4
6947.3684 1.5789474 -1.2142857 0.143 0.405
6947.3684 1.5789474 -0.78571429 0.163 0.422
6947.3684 1.5789474 -0.35714286 0.181 0.434
6947.3684 1.5789474 0.071428571 0.199 0.454
6947.3684 1.5789474 0.5 0.237 0.488
7210.5263 1.5789474 -2.5 0.098 0.324
6421.0526 0 -0.78571429 0.178 0.55
7210.5263 1.5789474 -2.0714286 0.101 0.325
7210.5263 1.5789474 -1.6428571 0.126 0.339
7210.5263 1.5789474 -1.2142857 0.135 0.346
7210.5263 1.5789474 -0.78571429 0.143 0.356
7210.5263 1.5789474 -0.35714286 0.162 0.37
7210.5263 1.5789474 0.071428571 0.182 0.386
7210.5263 1.5789474 0.5 0.211 0.416
7473.6842 1.5789474 -2.5 0.07 0.257
7473.6842 1.5789474 -2.0714286 0.074 0.26
7473.6842 1.5789474 -1.6428571 0.102 0.276
6421.0526 0 -0.35714286 0.197 0.573
7473.6842 1.5789474 -1.2142857 0.102 0.28
7473.6842 1.5789474 -0.78571429 0.123 0.294
3263.1579 0 -1.6428571 -2.127 0.193
7473.6842 1.5789474 -0.35714286 0.15 0.318
7473.6842 1.5789474 0.071428571 0.182 0.347
7473.6842 1.5789474 0.5 0.22 0.387
7736.8421 1.5789474 -2.5 0.102 0.237
7736.8421 1.5789474 -2.0714286 0.108 0.24
7736.8421 1.5789474 -1.6428571 0.116 0.249
7736.8421 1.5789474 -1.2142857 0.125 0.259
7736.8421 1.5789474 -0.78571429 0.14 0.271
6421.0526 0 0.071428571 0.235 0.604
7736.8421 1.5789474 -0.35714286 0.16 0.289
7736.8421 1.5789474 0.071428571 0.172 0.304
7736.8421 1.5789474 0.5 0.191 0.318
8000 1.5789474 -2.5 0.093 0.165
8000 1.5789474 -2.0714286 0.097 0.17
8000 1.5789474 -1.6428571 0.106 0.178
8000 1.5789474 -1.2142857 0.087 0.188
8000 1.5789474 -0.78571429 0.139 0.202
8000 1.5789474 -0.35714286 0.158 0.223
8000 1.5789474 0.071428571 0.161 0.241
6421.0526 0 0.5 0.264 0.635
8000 1.5789474 0.5 0.158 0.233
3000 1.8421053 -2.5 -1.306 0.511
3000 1.8421053 -2.0714286 -1.518 0.504
3000 1.8421053 -1.6428571 -2.049 0.449
3000 1.8421053 -1.2142857 -2.772 0.292
3000 1.8421053 -0.78571429 -3.393 0.042
3000 1.8421053 -0.35714286 -3.781 -0.283
3000 1.8421053 0.071428571 -4.025 -0.643
3000 1.8421053 0.5 -4.194 -0.952
3263.1579 1.8421053 -2.5 -1.015 0.527
3263.1579 1.8421053 -2.0714286 -1.144 0.508
6684.2105 0 -2.5 0.103 0.445
3263.1579 1.8421053 -1.6428571 -1.462 0.459
3263.1579 1.8421053 -1.2142857 -1.96 0.357
3263.1579 1.8421053 -0.78571429 -2.579 0.178
3263.1579 1.8421053 -0.35714286 -3.174 -0.092
3263.1579 1.8421053 0.071428571 -3.637 -0.428
3263.1579 1.8421053 0.5 -3.993 -0.773
3526.3158 1.8421053 -2.5 -0.859 0.503
3526.3158 1.8421053 -2.0714286 -0.907 0.482
3526.3158 1.8421053 -1.6428571 -1.02 0.459
3526.3158 1.8421053 -1.2142857 -1.231 0.42
6684.2105 0 -2.0714286 0.113 0.453
3526.3158 1.8421053 -0.78571429 -1.549 0.362
3526.3158 1.8421053 -0.35714286 -1.943 0.279
3526.3158 1.8421053 0.071428571 -2.343 0.167
3526.3158 1.8421053 0.5 -2.681 0.034
3789.4737 1.8421053 -2.5 -0.692 0.506
3789.4737 1.8421053 -2.0714286 -0.703 0.489
3789.4737 1.8421053 -1.6428571 -0.726 0.479
3789.4737 1.8421053 -1.2142857 -0.772 0.473
3789.4737 1.8421053 -0.78571429 -0.853 0.473
6684.2105 0 -1.6428571 0.126 0.463
3789.4737 1.8421053 -0.35714286 -0.981 0.479
3789.4737 1.8421053 0.071428571 -1.16 0.486
3789.4737 1.8421053 0.5 -1.386 0.482
4052.6316 1.8421053 -2.5 -0.497 0.565
4052.6316 1.8421053 -2.0714286 -0.5 0.551
4052.6316 1.8421053 -1.6428571 -0.501 0.546
4052.6316 1.8421053 -1.2142857 -0.501 0.548
4052.6316 1.8421053 -0.78571429 -0.505 0.558
4052.6316 1.8421053 -0.35714286 -0.525 0.573
4052.6316 1.8421053 0.071428571 -0.574 0.594
6684.2105 0 -1.2142857 0.14 0.473
4052.6316 1.8421053 0.5 -0.664 0.621
4315.7895 1.8421053 -2.5 -0.323 0.627
4315.7895 1.8421053 -2.0714286 -0.322 0.615
4315.7895 1.8421053 -1.6428571 -0.319 0.611
4315.7895 1.8421053 -1.2142857 -0.314 0.613
4315.7895 1.8421053 -0.78571429 -0.307 0.622
4315.7895 1.8421053 -0.35714286 -0.3 0.637
4315.7895 1.8421053 0.071428571 -0.301 0.657
4315.7895 1.8421053 0.5 -0.321 0.683
4578.9474 1.8421053 -2.5 -0.198 0.656
6684.2105 0 -0.78571429 0.16 0.489
4578.9474 1.8421053 -2.0714286 -0.194 0.651
4578.9474 1.8421053 -1.6428571 -0.188 0.649
4578.9474 1.8421053 -1.2142857 -0.179 0.652
4578.9474 1.8421053 -0.78571429 -0.168 0.662
4578.9474 1.8421053 -0.35714286 -0.154 0.677
4578.9474 1.8421053 0.071428571 -0.142 0.698
