                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210110"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  6.9999999999999951E-001                 -1.6559645882737218E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6998896817779299E+000                  1.8448931205386694E+000                  1.0459260331661011E+000                  2.1911353270951790E+000                 -4.3010299956640283E+000                 -4.8645865164867255E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2657916843417789E+000                  5.6992719882810503E+000                  8.8733285937302731E-002                  7.5985000000000003E-001                  2.4007444852777221E-001                  8.6040183142640145E-006                  7.5984999999999991E-001                  2.5551472227851366E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432930E-005                  4.9023392258781329E-001                 -8.0825628288870660E-002                  6.3637965131853802E-001                 -1.0941848056265062E+000                 -1.0626993323472993E+000                 -2.4124500509827934E-001                  2.8811690753888880E-001                  7.8246740658308955E-001                  2.0859282694219775E-001                 -5.0861245266521093E-001                  1.2219520042798333E+000                  1.1904665310006264E+000                  3.6901220375160643E-001                 -1.6034970888556171E-001                 -6.5470020792976247E-001                                        5 
                 2.5958682111999992E-004                  6.9999999999998852E-001                 -1.6559646231277870E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6985695972580435E+000                  1.8393322680736328E+000                  1.0457857759733551E+000                  2.1914158414806644E+000                 -4.3010299956640283E+000                 -3.8441429318401631E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2657915660374797E+000                  5.6992720666457117E+000                  8.8733277983304923E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851362E-005                  2.4007444852777213E-001                  8.6040183142640145E-006                  2.3401123199432930E-005                  4.9023392258781329E-001                 -8.3835495207601904E-002                  6.3767625743197232E-001                 -1.1069539533165527E+000                 -1.0707717440837186E+000                 -2.4529457658802803E-001                  2.8668879205805931E-001                  7.8353411351508551E-001                  2.2550482502351987E-001                 -4.9600692761605436E-001                  1.2486232831324706E+000                  1.2124410738996365E+000                  3.8696390640394596E-001                 -1.4501946224214135E-001                 -6.4186478369916755E-001                                        3 
                 1.8668799962237360E-003                  6.9999999999991958E-001                 -1.6559645498713135E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946456355975266E+000                  1.8226794572051979E+000                  1.0453072938601728E+000                  2.1923728057069867E+000                 -4.3010299956640283E+000                 -1.5204564946298722E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2657912327599607E+000                  5.6992722877497659E+000                  8.8733255506196887E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5984999999999980E-001                  2.5551472227851362E-005                  2.4007444852777207E-001                  8.6040183142640179E-006                  2.3401123199432930E-005                  4.9023392258781351E-001                 -9.2779243549260593E-002                  6.4153007993253131E-001                 -1.1459570321102241E+000                 -1.0956053197331972E+000                 -2.5801346657728236E-001                  2.8189137453988866E-001                  7.8625712341876142E-001                  2.7608060053626604E-001                 -4.5822872294552586E-001                  1.3292583890972296E+000                  1.2789066767202026E+000                  4.4131482356428781E-001                 -9.8590017552883213E-002                 -6.0295576643175597E-001                                        5 
                 1.1818815689988476E-002                  6.9999999999951001E-001                 -1.6559640082757603E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6910886371490479E+000                  1.8072268470138275E+000                  1.0446949856614447E+000                  2.1935974221041885E+000                 -4.3010299956640283E+000                 -1.8752177403974413E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2657906240598873E+000                  5.6992726942238381E+000                  8.8733213912797593E-002                  7.5985000000000003E-001                  2.4007444852777221E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851359E-005                  2.4007444852777213E-001                  8.6040183142640213E-006                  2.3401123199432930E-005                  4.9023392258781373E-001                 -1.0088165037648422E-001                  6.4502085756527006E-001                 -1.1813125958430843E+000                 -1.1181164930494021E+000                 -2.6954290321496854E-001                  2.7754260500520406E-001                  7.8872548112723662E-001                  3.2281453284191541E-001                 -4.2308797509983886E-001                  1.4032454783085155E+000                  1.3400493755148333E+000                  4.9147578568039973E-001                 -5.5609722539772866E-002                 -5.6679259866180542E-001                                        5 
                 7.3438578398454205E-002                  6.9999999999702323E-001                 -1.6559599065252488E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903063941638661E+000                  1.8035690365024737E+000                  1.0444305663761315E+000                  2.1941262606732717E+000                 -4.3010299956640283E+000                 -7.8327695060880254E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2657866756056073E+000                  5.6992753297831662E+000                  8.8732944337358149E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851362E-005                  2.4007444852777216E-001                  8.6040183142640213E-006                  2.3401123199432930E-005                  4.9023392258781373E-001                 -1.0266268275278193E-001                  6.4578551280415608E-001                 -1.1890878701660657E+000                 -1.1230670730822412E+000                 -2.7207841737972005E-001                  2.7658623852339431E-001                  7.8926831388916496E-001                  3.3374009149659756E-001                 -4.1470810406034042E-001                  1.4201652789098813E+000                  1.3541444818260568E+000                  5.0315582612353571E-001                 -4.5508829779578652E-002                 -5.5819090514534930E-001                                        5 
                 4.5497190750010674E-001                  6.9999999998166851E-001                 -1.6559288561742438E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6902668840774995E+000                  1.8032839626492776E+000                  1.0443670496222666E+000                  2.1942532941714754E+000                 -4.3010299956640283E+000                 -4.7183978198341693E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2657552237897813E+000                  5.6992962820661255E+000                  8.8730805521738343E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5984999999999991E-001                  2.5551472227851366E-005                  2.4007444852777210E-001                  8.6040183142640145E-006                  2.3401123199432930E-005                  4.9023392258781329E-001                 -1.0275267495785739E-001                  6.4582282453240114E-001                 -1.1894805890779721E+000                 -1.1233171203890038E+000                 -2.7220648287587379E-001                  2.7653793370628832E-001                  7.8929573166026290E-001                  3.3454276833466340E-001                 -4.1403273115559514E-001                  1.4212706824547781E+000                  1.3551072137658098E+000                  5.0399657625267980E-001                 -4.4747840329482313E-002                 -5.5750563828345689E-001                                        5 
                 2.8173257176583335E+000                  6.9999999988664796E-001                 -1.6557350623369867E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6902729916978472E+000                  1.8030841880983677E+000                  1.0442549471061158E+000                  2.1944774991448246E+000                 -4.3010299956640283E+000                 -3.5453196432957419E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2655287592707181E+000                  5.6994469908359671E+000                  8.8715438515130113E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851366E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0273889347863296E-001                  6.4581385427099436E-001                 -1.1894198806394947E+000                 -1.1232784668353328E+000                 -2.7218668587588579E-001                  2.7654540090465474E-001                  7.8929149328513137E-001                  3.3502842323271420E-001                 -4.1352432451691312E-001                  1.4217094103935759E+000                  1.3555679965894141E+000                  5.0447621562996703E-001                 -4.4255871150573500E-002                 -5.5700196353105014E-001                                        5 
                 1.7444397846610439E+001                  6.9999999929962942E-001                 -1.6546573791211486E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903142625514089E+000                  1.8019124267528890E+000                  1.0435865247262537E+000                  2.1958143435403499E+000                 -4.3010299956640283E+000                 -3.4652685394320228E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2640431143355797E+000                  5.7004350401686201E+000                  8.8614821953471715E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851366E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0264572703868036E-001                  6.4575555827776054E-001                 -1.1890096575087452E+000                 -1.1230172744508926E+000                 -2.7205291226025274E-001                  2.7659585875810333E-001                  7.8926285345252600E-001                  3.3786466015645777E-001                 -4.1053662515998313E-001                  1.4242285906265226E+000                  1.3582362075686700E+000                  5.0727184537803016E-001                 -4.1376925640325912E-002                 -5.5404392033474859E-001                                        5 
                 1.0801137310051506E+002                  6.9999999571433857E-001                 -1.6481855179721908E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6905656090770180E+000                  1.7947907699002992E+000                  1.0395230032487395E+000                  2.2039413842709896E+000                 -4.3010299956640283E+000                 -3.3444916351402438E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2533322417541850E+000                  5.7049567763974753E+000                  8.8420898526005806E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851369E-005                  2.4007444852777213E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0208028567226070E-001                  6.4539993068319501E-001                 -1.1865113284896454E+000                 -1.1214265681627733E+000                 -2.7123820806423299E-001                  2.7690315571447410E-001                  7.8908843197422074E-001                  3.5510336092151262E-001                 -3.9237685543394307E-001                  1.4395344037388973E+000                  1.3744496434120252E+000                  5.2426128331348498E-001                 -2.3880080465222164E-002                 -5.3606535672496880E-001                                        5 
