                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201227"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.4999999999999956E-001                 -1.6589942290555314E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7010921932208509E+000                  1.9084565745340609E+000                  1.0753027372779553E+000                  2.1623451422489142E+000                 -4.3010299956640283E+000                 -5.5030856176488112E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3244120442045593E+000                  5.6990145334713969E+000                  8.4879712387304282E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851369E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432937E-005                  4.9023392258781318E-001                 -7.7812961174597961E-002                  6.3567555631810246E-001                 -1.0826926159282384E+000                 -1.0554577416588875E+000                 -2.3764703176806953E-001                  2.8934414713907242E-001                  7.8143598208919107E-001                  4.6671524839446088E-002                 -6.6681699265325434E-001                  1.0515511795930865E+000                  1.0243163053237356E+000                  2.0650559543291766E-001                 -3.2048558347422429E-001                 -8.1257741842434295E-001                                        5 
                 2.5958682111999992E-004                  7.4999999999998701E-001                 -1.6589942720092687E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6997089312979070E+000                  1.9026266048581959E+000                  1.0751542762859110E+000                  2.1626420642329958E+000                 -4.3010299956640283E+000                 -4.3471958947091494E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3244118942998364E+000                  5.6990146262718264E+000                  8.4879704016063581E-002                  7.5985000000000003E-001                  2.4007444852777213E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851362E-005                  2.4007444852777213E-001                  8.6040183142640162E-006                  2.3401123199432930E-005                  4.9023392258781345E-001                 -8.1000098946346827E-002                  6.3702088824197900E-001                 -1.0959122744102945E+000                 -1.0637878648365504E+000                 -2.4178584081157917E-001                  2.8793243285171366E-001                  7.8262244697685468E-001                  6.4433586800857173E-002                 -6.5358740038746865E-001                  1.0793457622648048E+000                  1.0472213526910608E+000                  2.2521932866608951E-001                 -3.0449894499720331E-001                 -7.9918895912234433E-001                                        5 
                 1.8668799962237360E-003                  7.4999999999990730E-001                 -1.6589942779161440E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6955920815040191E+000                  1.8851409796201410E+000                  1.0746451632546590E+000                  2.1636602902954536E+000                 -4.3010299956640283E+000                 -1.7356400432546670E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3244115193225929E+000                  5.6990148641080394E+000                  8.4879681961564923E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851362E-005                  2.4007444852777210E-001                  8.6040183142640196E-006                  2.3401123199432933E-005                  4.9023392258781351E-001                 -9.0482269744884880E-002                  6.4102445479334436E-001                 -1.1365496816254146E+000                 -1.0896155836110430E+000                 -2.5494573296221024E-001                  2.8304848801429261E-001                  7.8560034684291735E-001                  1.1762982069453282E-001                 -6.1387690384369642E-001                  1.1636972325750625E+000                  1.1167631345606910E+000                  2.8209328391185817E-001                 -2.5590093706464467E-001                 -7.5845279589326942E-001                                        3 
                 1.1818815689988476E-002                  7.4999999999943556E-001                 -1.6589937543660042E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6917883876543729E+000                  1.8686006821703627E+000                  1.0739824022290620E+000                  2.1649858123463739E+000                 -4.3010299956640283E+000                 -2.1963175739589955E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3244108707978741E+000                  5.6990152895026842E+000                  8.4879641071106599E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851362E-005                  2.4007444852777213E-001                  8.6040183142640230E-006                  2.3401123199432933E-005                  4.9023392258781373E-001                 -9.9237686824035137E-002                  6.4472070064325271E-001                 -1.1743573243410845E+000                 -1.1136880154432804E+000                 -2.6727479167568963E-001                  2.7839811032374168E-001                  7.8823989707160635E-001                  1.6773598139812820E-001                 -5.7622240606915964E-001                  1.2428556189151776E+000                  1.1821863100173735E+000                  3.3577308624978269E-001                 -2.0989981574964861E-001                 -7.1974160249751329E-001                                        5 
                 7.3438578398454205E-002                  7.4999999999657785E-001                 -1.6589895195457697E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6909316558958341E+000                  1.8645847985354633E+000                  1.0736879239286898E+000                  2.1655747689454636E+000                 -4.3010299956640283E+000                 -9.4814811624026522E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3244068216593070E+000                  5.6990179591809804E+000                  8.4879383094025582E-002                  7.5985000000000003E-001                  2.4007444852777213E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851369E-005                  2.4007444852777216E-001                  8.6040183142640230E-006                  2.3401123199432933E-005                  4.9023392258781373E-001                 -1.0120889060530447E-001                  6.4554981428991709E-001                 -1.1828729951927923E+000                 -1.1191100119328565E+000                 -2.7005174888259464E-001                  2.7735067433185306E-001                  7.8883442080621491E-001                  1.7974689426664592E-001                 -5.6701181062857564E-001                  1.2614109988541338E+000                  1.1976480155941980E+000                  3.4858975254393609E-001                 -1.9881267067051162E-001                 -7.1029641714487346E-001                                        5 
                 4.5497190750010674E-001                  7.4999999997893740E-001                 -1.6589568362227599E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6908874653292929E+000                  1.8642641114636398E+000                  1.0736159615258607E+000                  2.1657186937409070E+000                 -4.3010299956640283E+000                 -5.5641947992594982E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3243739193552670E+000                  5.6990396716509588E+000                  8.4877283088791583E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851366E-005                  2.4007444852777218E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0131066135587442E-001                  6.4559107514040215E-001                 -1.1833122367022790E+000                 -1.1193896805536834E+000                 -2.7019498538111392E-001                  2.7729664718893271E-001                  7.8886508656434029E-001                  1.8065038269677525E-001                 -5.6625135379950131E-001                  1.2626519580431799E+000                  1.1987294018945842E+000                  3.4953470672201475E-001                 -1.9795692584803187E-001                 -7.0952536522343945E-001                                        5 
                 2.8173257176583335E+000                  7.4999999986977517E-001                 -1.6587496619300893E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6908941702367408E+000                  1.8640500617517999E+000                  1.0734955268550437E+000                  2.1659595630193298E+000                 -4.3010299956640283E+000                 -4.0565371977075319E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3241293831449528E+000                  5.6992011167179397E+000                  8.4861662647885444E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5984999999999991E-001                  2.5551472227851369E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0129549487907932E-001                  6.4558131053352974E-001                 -1.1832455914047109E+000                 -1.1193472469538233E+000                 -2.7017325237350814E-001                  2.7730484462687727E-001                  7.8886043370587566E-001                  1.8117034049957939E-001                 -5.6570646491302967E-001                  1.2631204370252109E+000                  1.1992220925743233E+000                  3.5004809799400821E-001                 -1.9742999900637720E-001                 -7.0898558808537560E-001                                        5 
                 1.7444397846610439E+001                  7.4999999919549842E-001                 -1.6575887183091133E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6909396282506433E+000                  1.8627977160664952E+000                  1.0727784379845879E+000                  2.1673937403697949E+000                 -4.3010299956640283E+000                 -3.9695867363657880E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3225308567174667E+000                  5.7002565992698999E+000                  8.4759599509964881E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5984999999999991E-001                  2.5551472227851366E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0119252436345996E-001                  6.4551773566995463E-001                 -1.1827937491275060E+000                 -1.1190595553222997E+000                 -2.7002590676916077E-001                  2.7736042167677061E-001                  7.8882888822193498E-001                  1.8419823419722239E-001                 -5.6251202583619220E-001                  1.2657994589612684E+000                  1.2020652651560622E+000                  3.5303161660292320E-001                 -1.9435471184300818E-001                 -7.0582317838817255E-001                                        5 
                 1.0801137310051506E+002                  7.4999999508115611E-001                 -1.6506451518008998E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912162784987728E+000                  1.8551983805009911E+000                  1.0684254697055771E+000                  2.1760996745453687E+000                 -4.3010299956640283E+000                 -3.8218493805773253E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3112752958700074E+000                  5.7053354451525600E+000                  8.4501010746461394E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851369E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432937E-005                  4.9023392258781318E-001                 -1.0056815706599580E-001                  6.4513019849195585E-001                 -1.1800439085205079E+000                 -1.1173087095724257E+000                 -2.6912918473464104E-001                  2.7769865480882616E-001                  7.8863690739790826E-001                  2.0257220581351826E-001                 -5.4312614974443341E-001                  1.2820479572680303E+000                  1.2193127583199481E+000                  3.7113323348216348E-001                 -1.7569460606130372E-001                 -6.8663285865038581E-001                                        5 
