                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201227"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.4999999999999956E-001                 -1.6589943326136218E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7010942056505107E+000                  1.9084646927727795E+000                  1.0753027715379953E+000                  2.1623450737288343E+000                 -4.3010299956640283E+000                 -5.5030650124444143E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3247158334860689E+000                  5.6993099973451429E+000                  8.4802210377958126E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851366E-005                  2.4007444852777216E-001                  8.6040183142640145E-006                  2.3401123199432937E-005                  4.9023392258781318E-001                 -7.7808327338790562E-002                  6.3567359319562011E-001                 -1.0826733833995934E+000                 -1.0554456226368378E+000                 -2.3764101045037861E-001                  2.8934620096183250E-001                  7.8143425596896121E-001                  4.6646595406841740E-002                 -6.6683532512756893E-001                  1.0515116514676446E+000                  1.0242838907048890E+000                  2.0647927851842979E-001                 -3.2050793289378132E-001                 -8.1259598790091003E-001                                        5 
                 2.5958682111999992E-004                  7.4999999999998701E-001                 -1.6589943509779822E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6997101791534157E+000                  1.9026316033390280E+000                  1.0751542798153093E+000                  2.1626420571741987E+000                 -4.3010299956640283E+000                 -4.3519618769867402E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3247157266850449E+000                  5.6993100681380877E+000                  8.4802203506099044E-002                  7.5985000000000003E-001                  2.4007444852777216E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851359E-005                  2.4007444852777216E-001                  8.6040183142640162E-006                  2.3401123199432930E-005                  4.9023392258781345E-001                 -8.0997226275622211E-002                  6.3701967024310724E-001                 -1.0959003488204822E+000                 -1.0637803501467999E+000                 -2.4178210714939491E-001                  2.8793370637368443E-001                  7.8262137665468290E-001                  6.4418217928052343E-002                 -6.5359867859067711E-001                  1.0793213404729123E+000                  1.0472013417992301E+000                  2.2520309880182504E-001                 -3.0451271472125430E-001                 -7.9920038500225277E-001                                        5 
                 1.8668799962237360E-003                  7.4999999999990730E-001                 -1.6589942957566265E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6955945210610306E+000                  1.8851507923380058E+000                  1.0746451904995682E+000                  2.1636602358056347E+000                 -4.3010299956640283E+000                 -1.7356699504763335E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3247154534170460E+000                  5.6993102497400132E+000                  8.4802185832223709E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5984999999999980E-001                  2.5551472227851356E-005                  2.4007444852777207E-001                  8.6040183142640162E-006                  2.3401123199432923E-005                  4.9023392258781356E-001                 -9.0476655573937748E-002                  6.4102207337155415E-001                 -1.1365254331246810E+000                 -1.0896001443945509E+000                 -2.5493782553482824E-001                  2.8305147060402158E-001                  7.8559865392764783E-001                  1.1759967472892335E-001                 -6.1389905421656854E-001                  1.1636484522796666E+000                  1.1167231635495365E+000                  2.8206084468981385E-001                 -2.5592845144903598E-001                 -7.5847563477266222E-001                                        5 
                 1.1818815689988476E-002                  7.4999999999943556E-001                 -1.6589937439311889E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6917911646774439E+000                  1.8686117946054812E+000                  1.0739824044004791E+000                  2.1649858080035402E+000                 -4.3010299956640283E+000                 -2.1964433214422324E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3247148548186707E+000                  5.6993106506391653E+000                  8.4802146512581597E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000025E-001                  2.5551472227851359E-005                  2.4007444852777216E-001                  8.6040183142640213E-006                  2.3401123199432930E-005                  4.9023392258781373E-001                 -9.9231299381442678E-002                  6.4471798771584854E-001                 -1.1743297215263568E+000                 -1.1136704405079452E+000                 -2.6726579040771864E-001                  2.7840150549743103E-001                  7.8823796997404894E-001                  1.6770181286774019E-001                 -5.7624747422955103E-001                  1.2428002350126544E+000                  1.1821409539942427E+000                  3.3573630389401615E-001                 -2.0993099201113352E-001                 -7.1976745648775142E-001                                        4 
                 7.3438578398454205E-002                  7.4999999999657785E-001                 -1.6589895089366678E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6909345075038487E+000                  1.8645962450141902E+000                  1.0736879439520239E+000                  2.1655747288987954E+000                 -4.3010299956640283E+000                 -9.4698440061529406E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3247108360266799E+000                  5.6993133396295041E+000                  8.4801883024901076E-002                  7.5985000000000003E-001                  2.4007444852777221E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851369E-005                  2.4007444852777216E-001                  8.6040183142640247E-006                  2.3401123199432933E-005                  4.9023392258781379E-001                 -1.0120233296293396E-001                  6.4554702841764333E-001                 -1.1828446510259114E+000                 -1.1190919649726105E+000                 -2.7004250585995271E-001                  2.7735416069259528E-001                  7.8883244195096758E-001                  1.7971172042745881E-001                 -5.6703764095311848E-001                  1.2613540384904363E+000                  1.1976013524371354E+000                  3.4855189332447756E-001                 -1.9884477322807043E-001                 -7.1032305448644273E-001                                        5 
                 4.5497190750010674E-001                  7.4999999997893696E-001                 -1.6589568178465317E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6908903929765895E+000                  1.8642761537687520E+000                  1.0736161273838234E+000                  2.1657183620249811E+000                 -4.3010299956640283E+000                 -5.5600958248782745E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3246780736391943E+000                  5.6993352024415618E+000                  8.4799746474864532E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851369E-005                  2.4007444852777216E-001                  8.6040183142640162E-006                  2.3401123199432933E-005                  4.9023392258781340E-001                 -1.0130392889860551E-001                  6.4558821871738747E-001                 -1.1832831367268042E+000                 -1.1193711523639942E+000                 -2.7018549588956092E-001                  2.7730022651488440E-001                  7.8886305494212317E-001                  1.8061354447672584E-001                 -5.6627860313926714E-001                  1.2625927523049245E+000                  1.1986807679421145E+000                  3.4949511146768125E-001                 -1.9799061093676407E-001                 -7.0955343936400284E-001                                        5 
                 2.8173257176583335E+000                  7.4999999986977184E-001                 -1.6587496377536624E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6908971008360298E+000                  1.8640621211446835E+000                  1.0734956953529078E+000                  2.1659592260235998E+000                 -4.3010299956640283E+000                 -4.0566992651831055E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3244344322372466E+000                  5.6994975427013710E+000                  8.4783907312848336E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000014E-001                  2.5551472227851366E-005                  2.4007444852777218E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0128875620991411E-001                  6.4557845106363665E-001                 -1.1832164620873908E+000                 -1.1193287000819441E+000                 -2.7016375331358999E-001                  2.7730842756190505E-001                  7.8885840003515018E-001                  1.8113345334820569E-001                 -5.6573375392534508E-001                  1.2630611592256824E+000                  1.1991733972202356E+000                  3.5000845045188156E-001                 -1.9746373042361348E-001                 -7.0901370289685861E-001                                        5 
                 1.7444397846610439E+001                  7.4999999919547644E-001                 -1.6575878889065869E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6909425674919194E+000                  1.8628096884218239E+000                  1.0727785456796997E+000                  2.1673935249795591E+000                 -4.3010299956640283E+000                 -3.9699769178683944E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3228425945725881E+000                  5.7005573344561427E+000                  8.4680662719352290E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5985000000000003E-001                  2.5551472227851359E-005                  2.4007444852777216E-001                  8.6040183142640128E-006                  2.3401123199432933E-005                  4.9023392258781318E-001                 -1.0118576942759630E-001                  6.4551486474181452E-001                 -1.1827645339108028E+000                 -1.1190409537575885E+000                 -2.7001637969748454E-001                  2.7736401517750814E-001                  7.8882684855412211E-001                  1.8416154837303714E-001                 -5.6253908579637368E-001                  1.2657403128562437E+000                  1.2020167327030293E+000                  3.5299215864292538E-001                 -1.9438823623206730E-001                 -7.0585106960868127E-001                                        5 
                 1.0801137310051506E+002                  7.4999999508101989E-001                 -1.6506449174160387E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912192615836501E+000                  1.8552103735745940E+000                  1.0684255000726239E+000                  2.1760996138111959E+000                 -4.3010299956640283E+000                 -3.8219375668495638E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3112746999395060E+000                  5.7053354427402239E+000                  8.4501049866058928E-002                  7.5985000000000003E-001                  2.4007444852777218E-001                  8.6040183142640145E-006                  7.5984999999999991E-001                  2.5551472227851362E-005                  2.4007444852777210E-001                  8.6040183142640145E-006                  2.3401123199432933E-005                  4.9023392258781323E-001                 -1.0056132299522966E-001                  6.4512727404896331E-001                 -1.1800142575100625E+000                 -1.1172898305343151E+000                 -2.6911951555078201E-001                  2.7770230191262774E-001                  7.8863483730504402E-001                  2.0253538905874544E-001                 -5.4315320798544753E-001                  1.2819883235735783E+000                  1.2192638965978309E+000                  3.7109358161429778E-001                 -1.7572823584911196E-001                 -6.8666077124152824E-001                                        5 
