                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210120"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.4999999999999956E-001                 -1.6591549203283691E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6792412425753449E+000                  1.8206328356752437E+000                  1.0750927691395589E+000                  2.1627650785257071E+000                 -3.5228787452803854E+000                 -5.4035208341276134E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254598193012437E+000                  5.6993105652621292E+000                  8.4819872321258816E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584077E-005                  7.5910000000000011E-001                  2.5604682290799828E-005                  2.4057439531770919E-001                  5.1624109885584090E-005                  1.4040673919659761E-004                  4.9023392258781323E-001                 -1.1932891738472057E-001                  6.5758446411916516E-001                 -1.3042654849669617E+000                 -1.1972528825927113E+000                 -3.1133179136573363E-001                  2.6031233873259396E-001                  7.9471418187036091E-001                  3.0774682819661164E-001                 -4.6916655330727408E-001                  1.4926833957788528E+000                  1.3856707934046024E+000                  4.9974970217762471E-001                 -7.1894427920702886E-002                 -6.0629627105846984E-001                                        5 
                 2.5958682111999992E-004                  7.4999999999998956E-001                 -1.6591550120270394E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6771490635350763E+000                  1.8119776683811557E+000                  1.0749495435730509E+000                  2.1630515296587172E+000                 -3.5228787452803854E+000                 -4.3577945733142255E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254596338441020E+000                  5.6993106879460820E+000                  8.4819860434041106E-002                  7.5910000000000000E-001                  2.4057439531770922E-001                  5.1624109885584063E-005                  7.5910000000000000E-001                  2.5604682290799834E-005                  2.4057439531770927E-001                  5.1624109885584084E-005                  1.4040673919659766E-004                  4.9023392258781295E-001                 -1.2666882452527936E-001                  6.5695240741345984E-001                 -1.3267629167242114E+000                 -1.2118558976336995E+000                 -3.1922371674282013E-001                  2.5685442951529985E-001                  7.9543357225582301E-001                  3.3672465357239001E-001                 -4.4689657836634922E-001                  1.5368187457713220E+000                  1.4219117266808101E+000                  5.2927954578993075E-001                 -4.6798600468189233E-002                 -5.8537774320871239E-001                                        5 
                 1.8668799962237360E-003                  7.4999999999992550E-001                 -1.6591551533727301E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6704049597856745E+000                  1.7839722452269458E+000                  1.0744350394947499E+000                  2.1640805378152823E+000                 -3.5228787452803854E+000                 -1.8858898058448065E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254591927624912E+000                  5.6993109796010257E+000                  8.4819832187532737E-002                  7.5910000000000000E-001                  2.4057439531770916E-001                  5.1624109885584070E-005                  7.5910000000000000E-001                  2.5604682290799828E-005                  2.4057439531770922E-001                  5.1624109885584104E-005                  1.4040673919659763E-004                  4.9023392258781323E-001                 -1.5032565582300947E-001                  6.5491433276653788E-001                 -1.4000133646999899E+000                 -1.2595130415882501E+000                 -3.4514133805420544E-001                  2.4532016029218909E-001                  7.9743539866512880E-001                  4.3039504275564577E-001                 -3.7484494583390160E-001                  1.6800827516326262E+000                  1.5395824285208863E+000                  6.2521072498684171E-001                  3.4749226640447189E-002                 -5.1736601173249253E-001                                        4 
                 7.9174920141126363E-003                  7.4999999999970124E-001                 -1.6591549982097614E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641244635483181E+000                  1.7576125404377423E+000                  1.0738161795748615E+000                  2.1653182576549290E+000                 -3.5228787452803854E+000                 -4.8355627559088623E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254588101032176E+000                  5.6993112320277080E+000                  8.4819807799114244E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584070E-005                  7.5910000000000000E-001                  2.5604682290799834E-005                  2.4057439531770924E-001                  5.1624109885584090E-005                  1.4040673919659769E-004                  4.9023392258781295E-001                 -1.7235127154964766E-001                  6.5301370827996108E-001                 -1.4702619534496861E+000                 -1.3055211394157309E+000                 -3.7060735680397450E-001                  2.3350068348579317E-001                  7.9841856499134767E-001                  5.1831992045529252E-001                 -3.0704505937431625E-001                  1.8162306023553310E+000                  1.6514897883213757E+000                  7.1657600570961932E-001                  1.1246796541985166E-001                 -4.5244991608570284E-001                                        5 
                 2.0754942578376335E-002                  7.4999999999924383E-001                 -1.6591545233440467E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6616788660428945E+000                  1.7471324525595784E+000                  1.0734673306466265E+000                  2.1660159555111340E+000                 -3.5228787452803854E+000                 -1.3163532257188270E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254583233139314E+000                  5.6993115524862752E+000                  8.4819776902781280E-002                  7.5910000000000000E-001                  2.4057439531770916E-001                  5.1624109885584070E-005                  7.5910000000000000E-001                  2.5604682290799831E-005                  2.4057439531770919E-001                  5.1624109885584090E-005                  1.4040673919659769E-004                  4.9023392258781295E-001                 -1.8092563939732104E-001                  6.5227101683038602E-001                 -1.4981029488830548E+000                 -1.3238255551127580E+000                 -3.8084234866068156E-001                  2.2863995688492844E-001                  7.9858973500185026E-001                  5.5309450799837556E-001                 -2.8010214822933155E-001                  1.8702718174841093E+000                  1.6959944237138125E+000                  7.5301121726173603E-001                  1.4352891171612603E-001                 -4.2642086640079579E-001                                        5 
                 1.0024105280788728E-001                  7.4999999999646427E-001                 -1.6591506843559635E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6605371977541057E+000                  1.7419899613475984E+000                  1.0731794216182144E+000                  2.1665917735663487E+000                 -3.5228787452803854E+000                 -9.6383235254907909E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254546735879580E+000                  5.6993139573255513E+000                  8.4819544829499965E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584070E-005                  7.5909999999999989E-001                  2.5604682290799838E-005                  2.4057439531770924E-001                  5.1624109885584090E-005                  1.4040673919659771E-004                  4.9023392258781290E-001                 -1.8524087298847292E-001                  6.5167927890354183E-001                 -1.5113875265569940E+000                 -1.3326005922610031E+000                 -3.8580872357426410E-001                  2.2621812154099211E-001                  7.9854447722264199E-001                  5.7026596961947718E-001                 -2.6665418227253757E-001                  1.8964126231879983E+000                  1.7176256888920074E+000                  7.7083382020526836E-001                  1.5880697509001215E-001                 -4.1351938059163773E-001                                        5 
                 5.9239809659085119E-001                  7.4999999997933464E-001                 -1.6591200876930053E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6604387746500273E+000                  1.7414069085697474E+000                  1.0730847414374456E+000                  2.1667811339179677E+000                 -3.5228787452803854E+000                 -5.4029261359679215E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3254241646485134E+000                  5.6993340832795516E+000                  8.4817600342919741E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584070E-005                  7.5910000000000000E-001                  2.5604682290799828E-005                  2.4057439531770924E-001                  5.1624109885584084E-005                  1.4040673919659761E-004                  4.9023392258781318E-001                 -1.8572043653435227E-001                  6.5154303092128829E-001                 -1.5125327884544868E+000                 -1.3333570871938221E+000                 -3.8623687417843039E-001                  2.2600933539742857E-001                  7.9854057555475588E-001                  5.7220316510998415E-001                 -2.6506030234565647E-001                  1.8990155170301186E+000                  1.7198398157694539E+000                  7.7271960275406215E-001                  1.6047339317820325E-001                 -4.1205784697912407E-001                                        5 
                 3.6397047901225399E+000                  7.4999999987334776E-001                 -1.6589183501866117E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6604458075324509E+000                  1.7411947914690917E+000                  1.0729646171222702E+000                  2.1670213824869453E+000                 -3.5228787452803854E+000                 -3.2046064607525967E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3251878856288846E+000                  5.6994900874948620E+000                  8.4802515845283380E-002                  7.5910000000000000E-001                  2.4057439531770919E-001                  5.1624109885584070E-005                  7.5910000000000000E-001                  2.5604682290799828E-005                  2.4057439531770922E-001                  5.1624109885584084E-005                  1.4040673919659758E-004                  4.9023392258781323E-001                 -1.8568491113447172E-001                  6.5154920432346086E-001                 -1.5124509528102508E+000                 -1.3333030312173468E+000                 -3.8620628031985649E-001                  2.2602425438548143E-001                  7.9854085435168942E-001                  5.7269793246174283E-001                 -2.6453618299618975E-001                  1.8994639741375219E+000                  1.7203160525446179E+000                  7.7321930164712760E-001                  1.6098876694178968E-001                 -4.1152783302441831E-001                                        5 
                 2.2507824634685999E+001                  7.4999999921860827E-001                 -1.6577860451787299E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6605020173512215E+000                  1.7400261661375080E+000                  1.0722678848189380E+000                  2.1684148467144770E+000                 -3.5228787452803854E+000                 -3.1363557796148972E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3236360228994819E+000                  5.7005154033554977E+000                  8.4703373696362785E-002                  7.5910000000000000E-001                  2.4057439531770916E-001                  5.1624109885584063E-005                  7.5909999999999989E-001                  2.5604682290799828E-005                  2.4057439531770919E-001                  5.1624109885584090E-005                  1.4040673919659761E-004                  4.9023392258781323E-001                 -1.8540360947583598E-001                  6.5160591419608682E-001                 -1.5117968877119330E+000                 -1.3328709929790243E+000                 -3.8596176125603199E-001                  2.2614349325112099E-001                  7.9854308261475759E-001                  5.7533819413206633E-001                 -2.6167132953985650E-001                  1.9017314723681633E+000                  1.7228055776352547E+000                  7.7589634591226231E-001                  1.6379109140510933E-001                 -4.0860849795852727E-001                                        5 
