                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201203"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.9999999999999549E-001                 -1.6619029687993706E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7014089905310938E+000                  1.9654339297646475E+000                  1.1031578202727619E+000                  2.1346636998595425E+000                 -3.6989700043360663E+000                 -5.9248753256481421E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804671925674996E+000                  5.6992676918909195E+000                  8.1295979966094709E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  4.9023392258781318E-001                 -6.3433230545762484E-002                  6.4537377951260244E-001                 -1.0796644580842538E+000                 -1.0535496040261310E+000                 -2.3669897648457866E-001                  2.8966752112778271E-001                  7.8116420479925064E-001                 -1.1015159386585556E-001                 -8.1895860392422049E-001                  9.0607963367263578E-001                  8.7996477961451292E-001                  6.3114152072960616E-002                 -4.6325234553940076E-001                 -9.5474902921086868E-001                                        5 
                 2.5958682111999992E-004                  7.9999999999987881E-001                 -1.6619029762875773E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6998762942150316E+000                  1.9590028784937328E+000                  1.1030076872694292E+000                  2.1349639658661443E+000                 -3.6989700043360663E+000                 -4.6718287117910942E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804671112826883E+000                  5.6992677458350114E+000                  8.1295974940176957E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620450E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  4.9023392258781318E-001                 -6.7139427679264257E-002                  6.4649635800640726E-001                 -1.0943128622585765E+000                 -1.0627800248644554E+000                 -2.4128509705281909E-001                  2.8810323249748515E-001                  7.8247889967103801E-001                 -9.0367768555067479E-002                 -8.0400355424073899E-001                  9.3680566602424475E-001                  9.0527282863012370E-001                  8.3777900818487350E-002                 -4.4561042873181689E-001                 -9.3998609590536975E-001                                        5 
                 1.8668799962237360E-003                  7.9999999999915494E-001                 -1.6619028205887947E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6953685854734726E+000                  1.9399527923872828E+000                  1.1024980616993227E+000                  2.1359832170059643E+000                 -3.6989700043360663E+000                 -1.8411869981399855E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804667945606806E+000                  5.6992679564097344E+000                  8.1295955284999805E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173445E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -7.8036963202653312E-002                  6.4979659680546065E-001                 -1.1387712212402343E+000                 -1.0910300558473192E+000                 -2.5567017623288479E-001                  2.8277523643018493E-001                  7.8575544419829702E-001                 -3.1845017765553471E-002                 -7.5967857777366743E-001                  1.0288892402720275E+000                  9.8114807487911238E-001                  1.4578819526467801E-001                 -3.9265721739839171E-001                 -8.9563742516650380E-001                                        5 
                 1.1818815689988476E-002                  7.9999999999488591E-001                 -1.6619022516572951E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912611923142533E+000                  1.9222143839495913E+000                  1.1018436437989163E+000                  2.1372920528044599E+000                 -3.6989700043360663E+000                 -2.2992270074362743E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804661966063114E+000                  5.6992683581517847E+000                  8.1295917393100811E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620450E-005                  2.4037441660173448E-001                  3.4416073257056065E-005                  9.3604492797731760E-005                  4.9023392258781323E-001                 -8.7963999844256222E-002                  6.5279955530341449E-001                 -1.1795975455395185E+000                 -1.1170245066531084E+000                 -2.6898362592682201E-001                  2.7775355789983053E-001                  7.8860574445243159E-001                  2.2428039970278021E-002                 -7.1833551517739269E-001                  1.1140615856655403E+000                  1.0514885467791302E+000                  2.0344766605284381E-001                 -3.4328951777380873E-001                 -8.5414170432640979E-001                                        5 
                 7.3438578398454205E-002                  7.9999999996903748E-001                 -1.6618977906076211E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903567297023883E+000                  1.9180206314755031E+000                  1.1015556927856012E+000                  2.1378679548170578E+000                 -3.6989700043360663E+000                 -9.9144383893106700E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804619828687588E+000                  5.6992711840231642E+000                  8.1295651340759278E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620443E-005                  2.4037441660173445E-001                  3.4416073257056072E-005                  9.3604492797731733E-005                  4.9023392258781345E-001                 -9.0150349154380138E-002                  6.5345685808960463E-001                 -1.1885876467609797E+000                 -1.1227485767953826E+000                 -2.7191529470694348E-001                  2.7664776650017919E-001                  7.8923339066442910E-001                  3.5098770465623041E-002                 -7.0850843677836173E-001                  1.1335360680722226E+000                  1.0676969981066255E+000                  2.1686371601818638E-001                 -3.3169934518893629E-001                 -8.4428496935318620E-001                                        5 
                 4.5497190750010674E-001                  7.9999999980949665E-001                 -1.6618628939866181E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903116985277213E+000                  1.9176970273640574E+000                  1.1014839530792124E+000                  2.1380114341432255E+000                 -3.6989700043360663E+000                 -6.1042461198559794E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804272674412368E+000                  5.6992943882439615E+000                  8.1293473896987017E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0259659633431383E-002                  6.5348790576252436E-001                 -1.1890352436526013E+000                 -1.1230335653555770E+000                 -2.7206125589257663E-001                  2.7659271163693872E-001                  7.8926463975569150E-001                  3.6017091223288084E-002                 -7.0773047417266766E-001                  1.1347926752424580E+000                  1.0687909969454337E+000                  2.1781868748243333E-001                 -3.3083528004708201E-001                 -8.4350720816583480E-001                                        5 
                 2.8173257176583335E+000                  7.9999999882224471E-001                 -1.6616420104808341E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903197462652098E+000                  1.9174741588681026E+000                  1.1013564233562587E+000                  2.1382664930531856E+000                 -3.6989700043360663E+000                 -4.5510998481406810E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801694097074977E+000                  5.6994664324038018E+000                  8.1277360429236348E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620439E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  4.9023392258781318E-001                 -9.0241280797577886E-002                  6.5347824191123460E-001                 -1.1889552510264128E+000                 -1.1229826334036570E+000                 -2.7203517032590058E-001                  2.7660255080959045E-001                  7.8925905505007166E-001                  3.6555883627321442E-002                 -7.0716363908149105E-001                  1.1352698538561563E+000                  1.0692972362334006E+000                  2.1834977315564413E-001                 -3.3028794797984690E-001                 -8.4294445222032810E-001                                        5 
                 1.7444397846610439E+001                  7.9999999272485922E-001                 -1.6604189067411042E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903734547373537E+000                  1.9161696761522393E+000                  1.1005967650540394E+000                  2.1397858063475477E+000                 -3.6989700043360663E+000                 -4.4441209352642266E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3784751884467417E+000                  5.7005955787675138E+000                  8.1171801570606342E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5940000000000019E-001                  2.5583398265620446E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0117925579013408E-002                  6.5341641177441900E-001                 -1.1884214016632446E+000                 -1.1226427271973856E+000                 -2.7186108224026795E-001                  2.7666821481269327E-001                  7.8922178422048750E-001                  3.9693735198415431E-002                 -7.0384060215501698E-001                  1.1379972112826466E+000                  1.0722185368167876E+000                  2.2143689185966997E-001                 -3.2709240519329125E-001                 -8.3964597460108548E-001                                        5 
                 1.0801137310051506E+002                  7.9999995554591197E-001                 -1.6530640535020659E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6906989493374702E+000                  1.9082487723159549E+000                  1.0959853239356638E+000                  2.1490086684010339E+000                 -3.6989700043360663E+000                 -4.2692158006591562E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3661409590564082E+000                  5.7055869712915888E+000                  8.1007494934477287E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173436E-001                  3.4416073257056051E-005                  9.3604492797731746E-005                  4.9023392258781306E-001                 -8.9372368439308555E-002                  6.5304084383792849E-001                 -1.1851860628122035E+000                 -1.1205827607897576E+000                 -2.7080603940270015E-001                  2.7706616471206696E-001                  7.8899590821260257E-001                  5.8750437649421602E-002                 -6.8366277462781544E-001                  1.1545641320223166E+000                  1.0899608299998707E+000                  2.4018410861281320E-001                 -3.0768809550195392E-001                 -8.1961783900248952E-001                                        5 
