                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201203"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.9999999999999949E-001                 -1.6619028698685657E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7013963265383354E+000                  1.9653826706949451E+000                  1.1031575187234279E+000                  2.1346643029582126E+000                 -3.6989700043360663E+000                 -5.9122919938268313E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801658881232699E+000                  5.6989750185625345E+000                  8.1369599551667893E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -6.3463991752950741E-002                  6.4538313291858529E-001                 -1.0797861077299116E+000                 -1.0536262592993533E+000                 -2.3673706254060428E-001                  2.8965453028213722E-001                  7.8117512285990742E-001                 -1.0999268498441213E-001                 -8.1883980965594816E-001                  9.0632943099254870E-001                  8.8016958256199040E-001                  6.3280385803241412E-002                 -4.6311120701950009E-001                 -9.5463179959727029E-001                                        5 
                 2.5958682111999992E-004                  7.9999999999998506E-001                 -1.6619029133859325E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6998749520124155E+000                  1.9589975278115255E+000                  1.1030076963335582E+000                  2.1349639477379441E+000                 -3.6989700043360663E+000                 -4.6731112351939788E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801657489442145E+000                  5.6989751031217875E+000                  8.1369592400826418E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173442E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -6.7142670217091457E-002                  6.4649734569795192E-001                 -1.0943256895154967E+000                 -1.0627881077230499E+000                 -2.4128911300883010E-001                  2.8810186268737348E-001                  7.8248005091786954E-001                 -9.0351149311721904E-002                 -8.0399116522676528E-001                  9.3683186998668333E-001                  9.0529428819423652E-001                  8.3795293480016741E-002                 -4.4559568221618684E-001                 -9.3997387044668290E-001                                        5 
                 1.8668799962237360E-003                  7.9999999999989446E-001                 -1.6619028817070891E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6953664583132149E+000                  1.9399442687648856E+000                  1.1024980542086400E+000                  2.1359832319877312E+000                 -3.6989700043360663E+000                 -1.8412070092474312E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801653435074517E+000                  5.6989753614864318E+000                  8.1369569314456366E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620446E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731774E-005                  4.9023392258781323E-001                 -7.8042101227469268E-002                  6.4979816181310968E-001                 -1.1387923646102953E+000                 -1.0910435180020037E+000                 -2.5567707107826942E-001                  2.8277263577461981E-001                  7.8575692032807587E-001                 -3.1818570684744890E-002                 -7.5965883372532383E-001                  1.0289316926980812E+000                  9.8118284608978956E-001                  1.4581639916605527E-001                 -3.9263330768683397E-001                 -8.9561759224029003E-001                                        5 
                 1.1818815689988476E-002                  7.9999999999936111E-001                 -1.6619023500592530E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912587071313716E+000                  1.9222044393877151E+000                  1.1018436418837403E+000                  2.1372920566372411E+000                 -3.6989700043360663E+000                 -2.2992466815079729E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801646847350222E+000                  5.6989757935005239E+000                  8.1369529514764144E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620450E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731787E-005                  4.9023392258781318E-001                 -8.7970000722009611E-002                  6.5280138451885827E-001                 -1.1796222475514153E+000                 -1.1170402346238253E+000                 -2.6899168124403150E-001                  2.7775051952777702E-001                  7.8860746902969869E-001                  2.2458902252721902E-002                 -7.1831248298814598E-001                  1.1141111490821276E+000                  1.0515291361545376E+000                  2.0348058277474379E-001                 -3.4326161799706473E-001                 -8.5411856749898640E-001                                        5 
                 7.3438578398454205E-002                  7.9999999999613014E-001                 -1.6618978926582930E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903541669683544E+000                  1.9180103859883590E+000                  1.1015556955100978E+000                  2.1378679493827724E+000                 -3.6989700043360663E+000                 -9.9184329875789558E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801604339110267E+000                  5.6989785944525817E+000                  8.1369270206560110E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620450E-005                  2.4037441660173439E-001                  3.4416073257056072E-005                  9.3604492797731760E-005                  4.9023392258781329E-001                 -9.0156536423203648E-002                  6.5345874479045973E-001                 -1.1886131196089169E+000                 -1.1227647955636395E+000                 -2.7192360139350885E-001                  2.7664463331452543E-001                  7.8923516905781121E-001                  3.5130571452306136E-002                 -7.0848470976135725E-001                  1.1335871546380194E+000                  1.0677388305927420E+000                  2.1689763642261134E-001                 -3.3167059828542295E-001                 -8.4426113402870873E-001                                        5 
                 4.5497190750010674E-001                  7.9999999997618776E-001                 -1.6618629913543700E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903091308664284E+000                  1.9176867633526713E+000                  1.1014839563961054E+000                  2.1380114275999307E+000                 -3.6989700043360663E+000                 -6.1476363204248589E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801255390880445E+000                  5.6990016123389839E+000                  8.1367136905113935E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0265858587275150E-002                  6.5348979617325820E-001                 -1.1890607654762904E+000                 -1.1230498153070911E+000                 -2.7206957855011715E-001                  2.7658957242721866E-001                  7.8926642156832827E-001                  3.6048950205597452E-002                 -7.0770670455493589E-001                  1.1348438570946127E+000                  1.0688329069254134E+000                  2.1785267016843946E-001                 -3.3080648080889635E-001                 -8.4348332995000597E-001                                        5 
                 2.8173257176583335E+000                  7.9999999985278403E-001                 -1.6616421120695406E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903171779108361E+000                  1.9174638974501879E+000                  1.1013564293560481E+000                  2.1382664816130537E+000                 -3.6989700043360663E+000                 -4.5937811606684879E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3798665532972740E+000                  5.6991725405519569E+000                  8.1351288308335448E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0247481037083493E-002                  6.5348013302195518E-001                 -1.1889807797392342E+000                 -1.1229988877415373E+000                 -2.7204349522998467E-001                  2.7659941075250027E-001                  7.8926083734367491E-001                  3.6587737411614168E-002                 -7.0713987664742450E-001                  1.1353210361137649E+000                  1.0693391441160680E+000                  2.1838375160451534E-001                 -3.3025915437796960E-001                 -8.4292058096914424E-001                                        5 
                 1.7444397846610439E+001                  7.9999999909062880E-001                 -1.6604197258580768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903708804376754E+000                  1.9161595066865813E+000                  1.1005968289205665E+000                  2.1397856820702672E+000                 -3.6989700043360663E+000                 -4.4866622099059858E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3781647183360137E+000                  5.7002959000056856E+000                  8.1247190814630749E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0124137509006511E-002                  6.5341830962181713E-001                 -1.1884469894708383E+000                 -1.1226590191613852E+000                 -2.7186942641513606E-001                  2.7666506748688730E-001                  7.8922357063980730E-001                  3.9725370792553130E-002                 -7.0381707633827051E-001                  1.1380482227543849E+000                  1.0722602524449318E+000                  2.2147065969868268E-001                 -3.2706383420334068E-001                 -8.3962233735626068E-001                                        5 
                 1.0801137310051506E+002                  7.9999999444336867E-001                 -1.6530642153081878E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6906963373939741E+000                  1.9082385620855664E+000                  1.0959854427074620E+000                  2.1490084519736263E+000                 -3.6989700043360663E+000                 -4.3110623943658774E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3661414568668695E+000                  5.7055870182417809E+000                  8.1007455225385341E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -8.9378657279851087E-002                  6.5304277511227815E-001                 -1.1852120247896241E+000                 -1.1205992909907116E+000                 -2.7081450559421455E-001                  2.7706297136299973E-001                  7.8899772075468444E-001                  5.8782252065935264E-002                 -6.8363918032619397E-001                  1.1546156195757082E+000                  1.0900028857767958E+000                  2.4021810038029873E-001                 -3.0765937657691556E-001                 -8.1959412596860026E-001                                        5 
                 5.3693548398378800E+002                  7.9999997398658607E-001                 -1.6212186482931873E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6920890952507599E+000                  1.8736038901207679E+000                  1.0758825910114909E+000                  2.1892141442602338E+000                 -3.6989700043360663E+000                 -3.6230199296449318E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3094234530189004E+000                  5.7245722887139694E+000                  8.0992670765542188E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -8.6230262413423020E-002                  6.5141245437191930E-001                 -1.1713683340046455E+000                 -1.1117849011268905E+000                 -2.6630008300027397E-001                  2.7876575911058565E-001                  7.8803121994816250E-001                  1.4222053711150373E-001                 -5.9542217967383859E-001                  1.2273586087027262E+000                  1.1677751758249713E+000                  3.2229035769835468E-001                 -2.2277548441250494E-001                 -7.3204094525008179E-001                                        5 
                 1.1566697678537919E+003                  7.9999994832435806E-001                 -1.5818306654758498E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6937780215778826E+000                  1.8300350049617797E+000                  1.0507202957777519E+000                  2.2395387207965061E+000                 -3.6989700043360663E+000                 -2.9128596144277461E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2382713472346052E+000                  5.7483769839214771E+000                  8.0976386643023590E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -8.2506143197415671E-002                  6.4938441470877162E-001                 -1.1545807738681366E+000                 -1.1010961258426224E+000                 -2.6082566566789428E-001                  2.8083064571895511E-001                  7.8685919215127775E-001                  2.4741863079296644E-001                 -4.8447192711322085E-001                  1.3194932614636874E+000                  1.2660086134381732E+000                  4.2573815326344505E-001                 -1.1591815812340434E-001                 -6.2194670455572698E-001                                        5 
                 1.8794288929473837E+003                  7.9999992277633725E-001                 -1.5431237757616559E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6953809163617475E+000                  1.7863379628269258E+000                  1.0256659851425940E+000                  2.2896473281976153E+000                 -3.6989700043360663E+000                 -2.3424466803148410E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.1672428261143644E+000                  5.7721299360815763E+000                  8.0962072180265701E-002                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620439E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -7.9076239094294384E-002                  6.4739481988815273E-001                 -1.1386483172184039E+000                 -1.0909518018628093E+000                 -2.5563009727549862E-001                  2.8279035374721784E-001                  7.8574686362263479E-001                  3.5323133202698032E-001                 -3.7323972695546681E-001                  1.4128034101510898E+000                  1.3651068947954952E+000                  5.2978519020818449E-001                 -8.6352608145319198E-003                 -5.1159177068994888E-001                                        5 
                 2.7229649628832149E+003                  7.9999989731864818E-001                 -1.5050559288490314E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6969497482639064E+000                  1.7426725310956528E+000                  1.0006956054726406E+000                  2.3395880737173531E+000                 -3.6989700043360663E+000                 -1.8849084150076835E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.0962890715731368E+000                  5.7958467178845430E+000                  8.0949856810329512E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620446E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  4.9023392258781318E-001                 -7.5813498672776272E-002                  6.4540527722023400E-001                 -1.1230544055061455E+000                 -1.0810230321821837E+000                 -2.5054492826564756E-001                  2.8470842041115862E-001                  7.8465817069523403E-001                  4.5913217093364461E-001                 -2.6208660495936564E-001                  1.5063730777670139E+000                  1.4643417044430520E+000                  6.3386360052651591E-001                  9.8610251849709729E-002                 -4.0133949843436567E-001                                        5 
                 3.7063168755399179E+003                  7.9999987198542466E-001                 -1.4676555152465836E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6984078766507062E+000                  1.6987937603779104E+000                  9.7583996334016876E-001                  2.3892993442296957E+000                 -3.6989700043360663E+000                 -1.5170228460446523E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.0254903251726262E+000                  5.8195028007583787E+000                  8.0939326100114672E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -7.2744679906297710E-002                  6.4360936191180140E-001                 -1.1085608211350682E+000                 -1.0717948498170098E+000                 -2.4581857560664619E-001                  2.8649114571678680E-001                  7.8364629740207714E-001                  5.6576027896152159E-001                 -1.5059376285657755E-001                  1.6015764201902920E+000                  1.5648104488722336E+000                  7.3883417466187007E-001                  2.0652445333843705E-001                 -2.9063069834685329E-001                                        5 
                 4.8535448512804260E+003                  7.9999984675264912E-001                 -1.4308889003821028E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6998193634532730E+000                  1.6549150349617889E+000                  9.5107762702697485E-001                  2.4388240031580128E+000                 -3.6989700043360663E+000                 -1.2213137484030106E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -1.9548143909607361E+000                  5.8431079778818358E+000                  8.0930654338506186E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -6.9640189027074112E-002                  6.4200933032625329E-001                 -1.0948560340930198E+000                 -1.0631222945451504E+000                 -2.4145515322360633E-001                  2.8804522771315461E-001                  7.8252764936532182E-001                  6.7235260162260202E-001                 -3.9296917730725411E-002                  1.6975684466885477E+000                  1.6658347071406783E+000                  8.4416756581913421E-001                  3.1466718488237327E-001                 -1.7981523676979394E-001                                        5 
                 6.1918744691004285E+003                  7.9999982162414873E-001                 -1.3947374984493932E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7011315560454174E+000                  1.6108324909655296E+000                  9.2641196984455620E-001                  2.4881553038813857E+000                 -3.6989700043360663E+000                 -9.8346546446261706E-007                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -1.8842630012725055E+000                  5.8666679770487926E+000                  8.0922666056224682E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -6.6804351275579849E-002                  6.4046735233447039E-001                 -1.0823153025083405E+000                 -1.0552199845890962E+000                 -2.3752890252920675E-001                  2.8938444006694231E-001                  7.8140211819437400E-001                  7.7972312386175635E-001                  7.2451420251706145E-002                  1.7952340750945170E+000                  1.7681387571752727E+000                  9.5044767511538331E-001                  4.2353433251923422E-001                 -6.8483345608197466E-002                                        5 
                 7.7530416241065959E+003                  7.9999979660147769E-001                 -1.3591999418817652E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7023946038057982E+000                  1.5667471579563601E+000                  9.0184320781921012E-001                  2.5372928143480649E+000                 -3.6989700043360663E+000                 -7.9225224213773899E-007                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -1.8138395277030837E+000                  5.8901746270420974E+000                  8.0916674085623502E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -6.4120261239426518E-002                  6.3894558655470945E-001                 -1.0702441894394563E+000                 -1.0476135960510118E+000                 -2.3374967994168383E-001                  2.9067350232273342E-001                  7.8031873530436280E-001                  8.8725236634852633E-001                  1.8418651855439039E-001                  1.8933762945485562E+000                  1.8707457011601116E+000                  1.0568817850507837E+000                  5.3245860278636648E-001                  4.2813369804737045E-002                                        5 
                 9.5746426109198637E+003                  7.9999977167329661E-001                 -1.3242446000494191E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7035934389523382E+000                  1.5225746229543364E+000                  8.7735927002511738E-001                  2.5862606764035321E+000                 -3.6989700043360663E+000                 -6.3841532697743431E-007                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -1.7435317079103283E+000                  5.9136400938948643E+000                  8.0911172889560096E-002                  7.5939999999999996E-001                  2.4037441660173436E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173442E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -6.1618707984913097E-002                  6.3745735434263229E-001                 -1.0587866873237712E+000                 -1.0403938631009100E+000                 -2.3016256659554141E-001                  2.9189703767019426E-001                  7.7929042402241522E-001                  9.9518215059907211E-001                  2.9610608827152674E-001                  1.9923501299379303E+000                  1.9739573057150690E+000                  1.1637260092097004E+000                  6.4166640494396476E-001                  1.5427301859174380E-001                                        5 
