                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201203"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.9999999999999949E-001                 -1.6619029685947332E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7014089905891341E+000                  1.9654339306236202E+000                  1.1031578205861683E+000                  2.1346636992327319E+000                 -3.6989700043360663E+000                 -5.9248644633404374E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804671927206269E+000                  5.6992676923974868E+000                  8.1295979861714981E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -6.3433230399070395E-002                  6.4537377948036190E-001                 -1.0796644575296819E+000                 -1.0535496036766778E+000                 -2.3669897631095332E-001                  2.8966752118700495E-001                  7.8116420474947779E-001                 -1.1015159615998010E-001                 -8.1895860603941240E-001                  9.0607963097063138E-001                  8.7996477711762733E-001                  6.3114149751902826E-002                 -4.6325234774605545E-001                 -9.5474903130852828E-001                                        3 
                 2.5958682111999992E-004                  7.9999999999998506E-001                 -1.6619029760796060E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6998762931004068E+000                  1.9590028744402601E+000                  1.1030076874719426E+000                  2.1349639654611754E+000                 -3.6989700043360663E+000                 -4.6718367326131292E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804671114348595E+000                  5.6992677463422172E+000                  8.1295974835737445E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173445E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -6.7139430368324565E-002                  6.4649635883301981E-001                 -1.0943128729109357E+000                 -1.0627800315768423E+000                 -2.4128510038785841E-001                  2.8810323135993021E-001                  7.8247890062708758E-001                 -9.0367755732325722E-002                 -8.0400354493367010E-001                  9.3680568681028542E-001                  9.0527284547619202E-001                  8.3777914287208127E-002                 -4.4561041746058050E-001                 -9.3998608672773787E-001                                        5 
                 1.8668799962237360E-003                  7.9999999999989446E-001                 -1.6619028662387738E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6953685832322698E+000                  1.9399528029371902E+000                  1.1024980714566814E+000                  2.1359831974916488E+000                 -3.6989700043360663E+000                 -1.8411928073338614E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804668375272997E+000                  5.6992679285830334E+000                  8.1295957812917818E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731760E-005                  4.9023392258781329E-001                 -7.8036968480394764E-002                  6.4979659875842943E-001                 -1.1387712435171637E+000                 -1.0910300700312203E+000                 -2.5567018349738341E-001                  2.8277523369010044E-001                  7.8575544575356648E-001                 -3.1845038862580166E-002                 -7.5967860610140436E-001                  1.0288892361741888E+000                  9.8114806268824539E-001                  1.4578817615440848E-001                 -3.9265724103307537E-001                 -8.9563745309654141E-001                                        5 
                 1.1818815689988476E-002                  7.9999999999936111E-001                 -1.6619022517431254E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912611716556447E+000                  1.9222142954563608E+000                  1.1018436408695162E+000                  2.1372920586656892E+000                 -3.6989700043360663E+000                 -2.2992034995352405E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804661970405396E+000                  5.6992683584723318E+000                  8.1295917306002760E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620450E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731760E-005                  4.9023392258781329E-001                 -8.7964049754923168E-002                  6.5279957042271430E-001                 -1.1795977508802720E+000                 -1.1170246373952264E+000                 -2.6898369288836793E-001                  2.7775353264271346E-001                  7.8860575878834882E-001                  2.2428311114021271E-002                 -7.1833530906361620E-001                  1.1140620122393701E+000                  1.0514888987543245E+000                  2.0344795424746603E-001                 -3.4328927128361536E-001                 -8.5414149742925072E-001                                        5 
                 7.3438578398454205E-002                  7.9999999999613003E-001                 -1.6618977905963892E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903567263817205E+000                  1.9180206174824102E+000                  1.1015556924303906E+000                  2.1378679555421862E+000                 -3.6989700043360663E+000                 -9.9186451775327105E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804619832284430E+000                  5.6992711843930461E+000                  8.1295651249078088E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173439E-001                  3.4416073257056072E-005                  9.3604492797731760E-005                  4.9023392258781329E-001                 -9.0150357174598031E-002                  6.5345686052356933E-001                 -1.1885876797675603E+000                 -1.1227485978109395E+000                 -2.7191530547037762E-001                  2.7664776244033695E-001                  7.8923339296879202E-001                  3.5098813468573201E-002                 -7.0850840422959416E-001                  1.1335361360615355E+000                  1.0676970541049147E+000                  2.1686376176435279E-001                 -3.3169930614636178E-001                 -8.4428493667481685E-001                                        5 
                 4.5497190750010674E-001                  7.9999999997618720E-001                 -1.6618628937765354E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903116945626149E+000                  1.9176970104173825E+000                  1.1014839525360878E+000                  2.1380114353199660E+000                 -3.6989700043360663E+000                 -6.1475333827606163E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804272675943672E+000                  5.6992943887504977E+000                  8.1293473792616006E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056065E-005                  9.3604492797731733E-005                  4.9023392258781340E-001                 -9.0259669211056257E-002                  6.5348790866439632E-001                 -1.1890352830647082E+000                 -1.1230335904495843E+000                 -2.7206126874485054E-001                  2.7659270678921027E-001                  7.8926464250725781E-001                  3.6017143167600005E-002                 -7.0773043470785257E-001                  1.1347927570212519E+000                  1.0687910644061280E+000                  2.1781874270139429E-001                 -3.3083523283266653E-001                 -8.4350716855071406E-001                                        5 
                 2.8173257176583335E+000                  7.9999999985278092E-001                 -1.6616420091987930E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903197437875468E+000                  1.9174741487860127E+000                  1.1013564232705384E+000                  2.1382664937840712E+000                 -3.6989700043360663E+000                 -4.5936950384651157E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801694088455765E+000                  5.6994664335817733E+000                  8.1277360262550252E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620446E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0241286781960306E-002                  6.5347824372469931E-001                 -1.1889552756537793E+000                 -1.1229826490841004E+000                 -2.7203517835687591E-001                  2.7660254778039989E-001                  7.8925905676943753E-001                  3.6555914816928436E-002                 -7.0716361568973118E-001                  1.1352699036887475E+000                  1.0692972771190685E+000                  2.1834980639184404E-001                 -3.3028791974543176E-001                 -8.4294442873446940E-001                                        5 
                 1.7444397846610439E+001                  7.9999999909060759E-001                 -1.6604188989788160E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903734508663377E+000                  1.9161696567037276E+000                  1.1005967630718141E+000                  2.1397858137677601E+000                 -3.6989700043360663E+000                 -4.4867376896957160E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3784751813098350E+000                  5.7005955840934250E+000                  8.1171801019808157E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173436E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -9.0117934951564352E-002                  6.5341641451665577E-001                 -1.1884214401400888E+000                 -1.1226427516959032E+000                 -2.7186109478755299E-001                  2.7666821008000320E-001                  7.8922178690675815E-001                  3.9693793192245821E-002                 -7.0384055627597431E-001                  1.1379972983807702E+000                  1.0722186099365847E+000                  2.2143695302823446E-001                 -3.2709235183932173E-001                 -8.3964592866607668E-001                                        5 
                 1.0801137310051506E+002                  7.9999999444323966E-001                 -1.6530640065956295E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6906989489367068E+000                  1.9082487494121405E+000                  1.0959853132852826E+000                  2.1490087108179154E+000                 -3.6989700043360663E+000                 -4.3111423520259789E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3661409139321612E+000                  5.7055870003327724E+000                  8.1007492323147176E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999985E-001                  2.5583398265620443E-005                  2.4037441660173434E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -8.9372369588086920E-002                  6.5304084350904656E-001                 -1.1851860667955940E+000                 -1.1205827633260146E+000                 -2.7080604070168246E-001                  2.7706616422210589E-001                  7.8899590849070400E-001                  5.8750496057735746E-002                 -6.8366271703939774E-001                  1.1545641932652428E+000                  1.0899608897956634E+000                  2.4018416717133129E-001                 -3.0768803775245707E-001                 -8.1961778202105517E-001                                        5 
