                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201203"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                                star_age                                star_mass                                   log_LH                                  log_LHe                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf            surf_avg_omega_div_omega_crit                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_cntr_Rho                               log_cntr_T                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1                              surface_he3                              surface_he4                              surface_c12                              surface_o16                 surf_num_c12_div_num_o16                                 bc_F606W                                 bc_F814W                                  bc_bb_U                                  bc_bb_B                                  bc_bb_V                                  bc_bb_R                                  bc_bb_I                            abs_mag_F606W                            abs_mag_F814W                             abs_mag_bb_U                             abs_mag_bb_B                             abs_mag_bb_V                             abs_mag_bb_R                             abs_mag_bb_I                                num_iters 
                 1.0000000000000001E-005                  7.9999999999999949E-001                 -1.6619029687975136E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7014089892797579E+000                  1.9654339248649222E+000                  1.1031578203255714E+000                  2.1346636997539252E+000                 -3.6989700043360663E+000                 -5.9248661826536674E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804671925662761E+000                  5.6992676918922029E+000                  8.1295979965930645E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  4.9023392258781329E-001                 -6.3433233568101891E-002                  6.4537378043485483E-001                 -1.0796644700432734E+000                 -1.0535496115618859E+000                 -2.3669898022870695E-001                  2.8966751985069084E-001                  7.8116420587257296E-001                 -1.1015157859420348E-001                 -8.1895859259716020E-001                  9.0607965788096800E-001                  8.7996479939958050E-001                  6.3114168066401577E-002                 -4.6325233201299620E-001                 -9.5474901803487833E-001                                        5 
                 2.5958682111999992E-004                  7.9999999999998506E-001                 -1.6619029762855551E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6998762933712412E+000                  1.9590028749205715E+000                  1.1030076871704291E+000                  2.1349639660642024E+000                 -3.6989700043360663E+000                 -4.6718375635105294E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804671112820688E+000                  5.6992677458358960E+000                  8.1295974940050156E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -6.7139429719709501E-002                  6.4649635862390031E-001                 -1.0943128703225835E+000                 -1.0627800299458401E+000                 -2.4128509957749741E-001                  2.8810323163633778E-001                  7.8247890039478296E-001                 -9.0367757581718930E-002                 -8.0400354592532874E-001                  9.3680568302115508E-001                  9.0527284264441166E-001                  8.3777912276068983E-002                 -4.4561041893776621E-001                 -9.3998608769621139E-001                                        5 
                 1.8668799962237360E-003                  7.9999999999989446E-001                 -1.6619028664486411E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6953685832521179E+000                  1.9399528024289305E+000                  1.1024980711628560E+000                  2.1359831980792992E+000                 -3.6989700043360663E+000                 -1.8411928136098009E-002                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804668373765345E+000                  5.6992679280753729E+000                  8.1295957917354569E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731760E-005                  4.9023392258781329E-001                 -7.8036968436533113E-002                  6.4979659873467399E-001                 -1.1387712433198571E+000                 -1.0910300699055935E+000                 -2.5567018343304182E-001                  2.8277523371436941E-001                  7.8575544573979150E-001                 -3.1845037635793341E-002                 -7.5967860480700045E-001                  1.0288892372475307E+000                  9.8114806383326703E-001                  1.4578817736071537E-001                 -3.9265723978669587E-001                 -8.9563745181211796E-001                                        5 
                 1.1818815689988476E-002                  7.9999999999936111E-001                 -1.6619022519152544E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912611716817953E+000                  1.9222142950614123E+000                  1.1018436406197416E+000                  2.1372920591652385E+000                 -3.6989700043360663E+000                 -2.2992033003767947E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804661968561445E+000                  5.6992683579869281E+000                  8.1295917408371512E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731760E-005                  4.9023392258781329E-001                 -8.7964049694101931E-002                  6.5279957039605829E-001                 -1.1795977506203512E+000                 -1.1170246372297330E+000                 -2.6898369280360790E-001                  2.7775353267468400E-001                  7.8860575877020234E-001                  2.2428312040571108E-002                 -7.1833530804958912E-001                  1.1140620129668204E+000                  1.0514888995762022E+000                  2.0344795515007708E-001                 -3.4328927032821482E-001                 -8.5414149642373316E-001                                        5 
                 7.3438578398454205E-002                  7.9999999999613003E-001                 -1.6618977907034740E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903567262331638E+000                  1.9180206164233526E+000                  1.1015556921979754E+000                  2.1378679560070166E+000                 -3.6989700043360663E+000                 -9.9186761541381220E-005                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804619830023461E+000                  5.6992711839352426E+000                  8.1295651348881906E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173448E-001                  3.4416073257056072E-005                  9.3604492797731746E-005                  4.9023392258781340E-001                 -9.0150357535140960E-002                  6.5345686062610153E-001                 -1.1885876812439804E+000                 -1.1227485987509880E+000                 -2.7191530595183766E-001                  2.7664776225873583E-001                  7.8923339307186857E-001                  3.5098816476760011E-002                 -7.0850840168448248E-001                  1.1335361401855995E+000                  1.0676970576926070E+000                  2.1686376489345671E-001                 -3.3169930331711678E-001                 -8.4428493413024952E-001                                        5 
                 4.5497190750010674E-001                  7.9999999997618720E-001                 -1.6618628937804420E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903116956937416E+000                  1.9176970156147348E+000                  1.1014839528725100E+000                  2.1380114346471215E+000                 -3.6989700043360663E+000                 -6.1469129600083288E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3804272672620583E+000                  5.6992943883630049E+000                  8.1293473885883358E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173439E-001                  3.4416073257056065E-005                  9.3604492797731733E-005                  4.9023392258781340E-001                 -9.0259666477443795E-002                  6.5348790784151634E-001                 -1.1890352718215496E+000                 -1.1230335832909744E+000                 -2.7206126507846051E-001                  2.7659270817213005E-001                  7.8926464172231392E-001                  3.6017127440606950E-002                 -7.0773044687835318E-001                  1.1347927327847127E+000                  1.0687910442541375E+000                  2.1781872604162367E-001                 -3.3083524720896690E-001                 -8.4350718075915077E-001                                        5 
                 2.8173257176583335E+000                  7.9999999985278092E-001                 -1.6616420092023255E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903197435283950E+000                  1.9174741469491769E+000                  1.1013564228704245E+000                  2.1382664945842995E+000                 -3.6989700043360663E+000                 -4.5938116814608760E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3801694085003779E+000                  5.6994664332030656E+000                  8.1277360354958972E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620446E-005                  2.4037441660173442E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -9.0241287410850454E-002                  6.5347824390375986E-001                 -1.1889552782295658E+000                 -1.1229826507241243E+000                 -2.7203517919683895E-001                  2.7660254746357560E-001                  7.8925905694926668E-001                  3.6555920037907960E-002                 -7.0716361127670235E-001                  1.1352699108566233E+000                  1.0692972833511818E+000                  2.1834981182389646E-001                 -3.3028791483651809E-001                 -8.4294442432220917E-001                                        5 
                 1.7444397846610439E+001                  7.9999999909060759E-001                 -1.6604188989367461E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6903734517336950E+000                  1.9161696605934004E+000                  1.1005967632819373E+000                  2.1397858133475141E+000                 -3.6989700043360663E+000                 -4.4867476610127552E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3784751810107765E+000                  5.7005955836889735E+000                  8.1171801114033965E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5939999999999996E-001                  2.5583398265620443E-005                  2.4037441660173436E-001                  3.4416073257056065E-005                  9.3604492797731746E-005                  4.9023392258781329E-001                 -9.0117932856649305E-002                  6.5341641388398919E-001                 -1.1884214315187382E+000                 -1.1226427462066197E+000                 -2.7186109197613373E-001                  2.7666821114043788E-001                  7.8922178630485640E-001                  3.9693781373148426E-002                 -7.0384056536749007E-001                  1.1379972800352374E+000                  1.0722185947231189E+000                  2.2143694049263285E-001                 -3.2709236262393876E-001                 -8.3964593778835728E-001                                        5 
                 1.0801137310051506E+002                  7.9999999444323999E-001                 -1.6530640066034163E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6906989482898465E+000                  1.9082487460318562E+000                  1.0959853128888608E+000                  2.1490087116107595E+000                 -3.6989700043360663E+000                 -4.3111420348808600E-006                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.3661409139376590E+000                  5.7055870003278990E+000                  8.1007492323714569E-002                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  7.5940000000000007E-001                  2.5583398265620439E-005                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  4.9023392258781323E-001                 -8.9372371149237503E-002                  6.5304084397487672E-001                 -1.1851860732252963E+000                 -1.1205827674198581E+000                 -2.7080604279840609E-001                  2.7706616343124613E-001                  7.8899590893959537E-001                  5.8750506069597572E-002                 -6.8366270905451665E-001                  1.1545642081456564E+000                  1.0899609023402181E+000                  2.4018417771876616E-001                 -3.0768802851088606E-001                 -8.1961777401923530E-001                                        5 
