# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.5000000000   0.4999249275  -1.06952  3.66849    8.813   8.404   7.874   7.581   7.315   6.792   6.721
   0.5007366032   0.5006966563  -1.06641  3.66888    8.802   8.393   7.864   7.572   7.307   6.784   6.713
   0.5014732063   0.5014672814  -1.06330  3.66927    8.790   8.382   7.854   7.563   7.298   6.776   6.705
   0.5022098095   0.5022098095  -1.06019  3.66965    8.779   8.371   7.845   7.553   7.289   6.768   6.698
   0.5029464127   0.5029464127  -1.05709  3.67004    8.767   8.361   7.835   7.544   7.281   6.761   6.690
   0.5036830158   0.5036830158  -1.05399  3.67043    8.756   8.350   7.825   7.535   7.272   6.753   6.682
   0.5044196190   0.5044196190  -1.05089  3.67082    8.744   8.339   7.815   7.526   7.263   6.745   6.675
   0.5051562222   0.5051562222  -1.04779  3.67120    8.733   8.329   7.805   7.517   7.255   6.737   6.667
   0.5058928253   0.5058928253  -1.04469  3.67159    8.721   8.318   7.796   7.508   7.246   6.730   6.659
   0.5066294285   0.5066294285  -1.04160  3.67198    8.710   8.307   7.786   7.499   7.237   6.722   6.652
   0.5073660317   0.5073660317  -1.03850  3.67237    8.699   8.297   7.776   7.490   7.229   6.714   6.644
   0.5081026348   0.5081026348  -1.03541  3.67276    8.687   8.286   7.766   7.481   7.220   6.706   6.637
   0.5088392380   0.5088392380  -1.03232  3.67314    8.676   8.275   7.757   7.472   7.212   6.699   6.629
   0.5095758412   0.5095758412  -1.02923  3.67353    8.664   8.265   7.747   7.463   7.203   6.691   6.621
   0.5103124443   0.5103124443  -1.02614  3.67392    8.653   8.254   7.737   7.454   7.194   6.683   6.614
   0.5110490475   0.5110490475  -1.02306  3.67431    8.642   8.244   7.728   7.445   7.186   6.675   6.606
   0.5117856507   0.5117856507  -1.01997  3.67470    8.630   8.233   7.718   7.436   7.177   6.668   6.599
   0.5125222539   0.5125222539  -1.01689  3.67508    8.619   8.222   7.708   7.427   7.169   6.660   6.591
   0.5132588570   0.5132588570  -1.01380  3.67547    8.608   8.212   7.699   7.418   7.160   6.652   6.583
   0.5139954602   0.5139954602  -1.01072  3.67586    8.596   8.201   7.689   7.409   7.152   6.644   6.576
   0.5147320634   0.5147320634  -1.00764  3.67625    8.585   8.191   7.679   7.400   7.143   6.637   6.568
   0.5154686665   0.5154686665  -1.00456  3.67664    8.574   8.180   7.670   7.391   7.135   6.629   6.561
   0.5162052697   0.5162052697  -1.00148  3.67703    8.562   8.170   7.660   7.382   7.126   6.621   6.553
