#Teff log_g M_div_h F606W F814W 
6157.8947 0 -1.2142857 0.138 0.56
4052.6316 1.5789474 0.5 -0.522 0.603
4315.7895 1.5789474 -2.5 -0.329 0.646
3263.1579 0 -2.0714286 -1.683 0.236
4315.7895 1.5789474 -2.0714286 -0.324 0.634
4315.7895 1.5789474 -1.6428571 -0.317 0.624
4315.7895 1.5789474 -1.2142857 -0.307 0.622
4315.7895 1.5789474 -0.78571429 -0.295 0.626
4315.7895 1.5789474 -0.35714286 -0.284 0.632
4315.7895 1.5789474 0.071428571 -0.271 0.649
4315.7895 1.5789474 0.5 -0.268 0.668
4578.9474 1.5789474 -2.5 -0.201 0.669
6157.8947 0 -0.78571429 0.166 0.584
4578.9474 1.5789474 -2.0714286 -0.194 0.667
4578.9474 1.5789474 -1.6428571 -0.186 0.664
4578.9474 1.5789474 -1.2142857 -0.174 0.665
4578.9474 1.5789474 -0.78571429 -0.159 0.67
4578.9474 1.5789474 -0.35714286 -0.143 0.677
4578.9474 1.5789474 0.071428571 -0.123 0.694
4578.9474 1.5789474 0.5 -0.109 0.712
4842.1053 1.5789474 -2.5 -0.113 0.663
4842.1053 1.5789474 -2.0714286 -0.104 0.668
4842.1053 1.5789474 -1.6428571 -0.094 0.674
6157.8947 0 -0.35714286 0.199 0.608
4842.1053 1.5789474 -1.2142857 -0.079 0.681
4842.1053 1.5789474 -0.78571429 -0.063 0.691
4842.1053 1.5789474 -0.35714286 -0.044 0.7
4842.1053 1.5789474 0.071428571 -0.02 0.719
4842.1053 1.5789474 0.5 0.001 0.739
5105.2632 1.5789474 -2.5 -0.05 0.644
3000 0 -2.5 -1.003 0.08
5105.2632 1.5789474 -2.0714286 -0.042 0.651
5105.2632 1.5789474 -1.6428571 -0.03 0.661
5105.2632 1.5789474 -1.2142857 -0.013 0.674
5105.2632 1.5789474 -0.78571429 0.006 0.689
6157.8947 0 0.071428571 0.219 0.634
5105.2632 1.5789474 -0.35714286 0.026 0.703
5105.2632 1.5789474 0.071428571 0.053 0.726
5105.2632 1.5789474 0.5 0.078 0.75
5368.4211 1.5789474 -2.5 -0.004 0.618
5368.4211 1.5789474 -2.0714286 0.004 0.626
5368.4211 1.5789474 -1.6428571 0.016 0.636
5368.4211 1.5789474 -1.2142857 0.033 0.651
5368.4211 1.5789474 -0.78571429 0.055 0.67
5368.4211 1.5789474 -0.35714286 0.077 0.689
5368.4211 1.5789474 0.071428571 0.106 0.715
6157.8947 0 0.5 0.249 0.667
5368.4211 1.5789474 0.5 0.133 0.744
5631.5789 1.5789474 -2.5 0.032 0.589
