#Teff log_g M_div_h F606W F814W 
3500 0 -2 -35.099248 -36.657584
3500 0.5 -2 -35.25688 -36.718127
3500 1 -2 -35.391876 -36.777924
3500 1.5 -2 -35.500748 -36.834616
3500 2 -2 -35.567806 -36.881379
3500 2.5 -2 -35.606594 -36.915074
3500 3 -2 -35.629526 -36.934253
3500 3.5 -2 -35.639999 -36.945334
3500 4 -2 -35.643009 -36.954289
3500 4.5 -2 -35.644835 -36.966632
3500 5 -2 -35.651501 -36.989303
3766.67 0 -2 -35.707476 -37.088418
3766.67 0.5 -2 -35.792064 -37.093137
3766.67 1 -2 -35.866304 -37.106569
3766.67 1.5 -2 -35.935491 -37.131217
3766.67 2 -2 -35.996604 -37.164666
3766.67 2.5 -2 -36.040593 -37.205178
3766.67 3 -2 -36.073427 -37.243031
3766.67 3.5 -2 -36.091927 -37.26526
3766.67 4 -2 -36.106258 -37.282887
3766.67 4.5 -2 -36.114712 -37.297
3766.67 5 -2 -36.122665 -37.313223
4033.33 0 -2 -36.303799 -37.521359
4033.33 0.5 -2 -36.360437 -37.508426
4033.33 1 -2 -36.399055 -37.495487
4033.33 1.5 -2 -36.425145 -37.486655
4033.33 2 -2 -36.445552 -37.484797
4033.33 2.5 -2 -36.468015 -37.496792
4033.33 3 -2 -36.491411 -37.525682
4033.33 3.5 -2 -36.517123 -37.560833
4033.33 4 -2 -36.536452 -37.587945
4033.33 4.5 -2 -36.54779 -37.606062
4033.33 5 -2 -36.555566 -37.620648
4300 0 -2 -36.815114 -37.886355
4300 0.5 -2 -36.850586 -37.868502
4300 1 -2 -36.874704 -37.850713
4300 1.5 -2 -36.889685 -37.836042
4300 2 -2 -36.89879 -37.82571
4300 2.5 -2 -36.905955 -37.821934
4300 3 -2 -36.914149 -37.827332
4300 3.5 -2 -36.92502 -37.846078
4300 4 -2 -36.93736 -37.86963
4300 4.5 -2 -36.948247 -37.890429
4300 5 -2 -36.956502 -37.90664
4566.67 0 -2 -37.254677 -38.186858
4566.67 0.5 -2 -37.269269 -38.167957
4566.67 1 -2 -37.278745 -38.149886
4566.67 1.5 -2 -37.284331 -38.134553
4566.67 2 -2 -37.287549 -38.123088
4566.67 2.5 -2 -37.290392 -38.11694
4566.67 3 -2 -37.294534 -38.117301
4566.67 3.5 -2 -37.300316 -38.124496
4566.67 4 -2 -37.307826 -38.139211
4566.67 4.5 -2 -37.316074 -38.156733
4566.67 5 -2 -37.323849 -38.173
4833.33 0 -2 -37.629355 -38.437023
4833.33 0.5 -2 -37.628702 -38.417473
4833.33 1 -2 -37.625785 -38.399668
4833.33 1.5 -2 -37.6223 -38.384832
4833.33 2 -2 -37.619116 -38.373507
4833.33 2.5 -2 -37.618047 -38.367133
4833.33 3 -2 -37.619975 -38.366478
4833.33 3.5 -2 -37.62469 -38.371482
4833.33 4 -2 -37.631015 -38.381535
4833.33 4.5 -2 -37.638144 -38.395037
4833.33 5 -2 -37.645568 -38.409503
5100 0 -2 -37.950552 -38.653176
5100 0.5 -2 -37.940618 -38.633872
5100 1 -2 -37.930081 -38.616633
5100 1.5 -2 -37.919459 -38.601753
5100 2 -2 -37.909937 -38.589823
5100 2.5 -2 -37.903402 -38.582074
5100 3 -2 -37.9014 -38.579765
5100 3.5 -2 -37.90442 -38.583786
5100 4 -2 -37.910787 -38.592915
5100 4.5 -2 -37.918602 -38.605391
5100 5 -2 -37.926632 -38.618977
5366.67 0 -2 -38.232179 -38.844703
5366.67 0.5 -2 -38.21737 -38.827398
5366.67 1 -2 -38.202247 -38.811397
5366.67 1.5 -2 -38.186918 -38.79678
5366.67 2 -2 -38.172271 -38.78389
5366.67 2.5 -2 -38.159916 -38.773873
5366.67 3 -2 -38.151957 -38.768247
5366.67 3.5 -2 -38.150216 -38.76898
5366.67 4 -2 -38.154331 -38.775888
5366.67 4.5 -2 -38.162256 -38.787825
5366.67 5 -2 -38.171399 -38.801803
5633.33 0 -2 -38.48422 -39.016535
5633.33 0.5 -2 -38.467705 -39.002775
5633.33 1 -2 -38.45057 -38.989116
5633.33 1.5 -2 -38.432675 -38.975702
5633.33 2 -2 -38.414606 -38.96276
5633.33 2.5 -2 -38.397606 -38.951144
5633.33 3 -2 -38.383738 -38.942235
5633.33 3.5 -2 -38.375517 -38.938383
5633.33 4 -2 -38.374221 -38.940777
5633.33 4.5 -2 -38.379441 -38.94996
5633.33 5 -2 -38.388189 -38.963244
5900 0 -2 -38.712534 -39.171274
5900 0.5 -2 -38.697196 -39.162567
5900 1 -2 -38.680009 -39.152307
5900 1.5 -2 -38.661198 -39.141038
5900 2 -2 -38.641139 -39.128977
5900 2.5 -2 -38.620919 -39.116833
5900 3 -2 -38.602407 -39.105939
5900 3.5 -2 -38.587899 -39.098111
5900 4 -2 -38.579811 -39.095409
5900 4.5 -2 -38.579682 -39.099917
5900 5 -2 -38.585552 -39.110465
6166.67 0 -2 -37.597735 -38.032058
6166.67 0.5 -2 -38.908267 -39.307802
6166.67 1 -2 -38.893227 -39.302187
6166.67 1.5 -2 -38.874909 -39.29394
6166.67 2 -2 -38.854176 -39.283682
6166.67 2.5 -2 -38.831971 -39.272118
6166.67 3 -2 -38.810062 -39.26037
6166.67 3.5 -2 -38.790461 -39.249921
6166.67 4 -2 -38.776101 -39.243274
6166.67 4.5 -2 -38.768892 -39.242271
6166.67 5 -2 -38.76958 -39.248214
3500 0 -1.5 -35.145141 -36.654369
3500 0.5 -1.5 -35.25972 -36.701928
3500 1 -1.5 -35.359874 -36.753001
3500 1.5 -1.5 -35.450226 -36.80755
3500 2 -1.5 -35.52233 -36.85845
3500 2.5 -1.5 -35.574597 -36.905405
3500 3 -1.5 -35.618733 -36.941282
3500 3.5 -1.5 -35.638259 -36.956774
3500 4 -1.5 -35.642737 -36.964443
3500 4.5 -1.5 -35.636787 -36.969085
3500 5 -1.5 -35.62288 -36.974728
3766.67 0 -1.5 -35.774568 -37.085009
3766.67 0.5 -1.5 -35.832199 -37.086176
3766.67 1 -1.5 -35.881525 -37.096002
3766.67 1.5 -1.5 -35.929908 -37.117177
3766.67 2 -1.5 -35.979885 -37.148455
3766.67 2.5 -1.5 -36.020367 -37.183091
3766.67 3 -1.5 -36.054078 -37.226311
3766.67 3.5 -1.5 -36.084211 -37.263016
3766.67 4 -1.5 -36.103078 -37.285822
3766.67 4.5 -1.5 -36.112184 -37.300907
3766.67 5 -1.5 -36.113568 -37.31296
4033.33 0 -1.5 -36.357531 -37.511085
4033.33 0.5 -1.5 -36.395611 -37.496104
4033.33 1 -1.5 -36.418312 -37.48379
4033.33 1.5 -1.5 -36.434042 -37.477623
4033.33 2 -1.5 -36.442125 -37.474087
4033.33 2.5 -1.5 -36.456533 -37.482177
4033.33 3 -1.5 -36.477231 -37.50568
4033.33 3.5 -1.5 -36.499475 -37.541171
4033.33 4 -1.5 -36.522703 -37.577076
4033.33 4.5 -1.5 -36.539781 -37.603138
4033.33 5 -1.5 -36.549014 -37.620694
4300 0 -1.5 -36.849441 -37.877842
4300 0.5 -1.5 -36.876638 -37.857788
4300 1 -1.5 -36.891701 -37.84009
4300 1.5 -1.5 -36.898544 -37.826352
4300 2 -1.5 -36.90098 -37.816924
4300 2.5 -1.5 -36.902602 -37.812769
4300 3 -1.5 -36.905652 -37.814454
4300 3.5 -1.5 -36.911649 -37.82526
4300 4 -1.5 -36.922154 -37.849476
4300 4.5 -1.5 -36.935134 -37.877163
4300 5 -1.5 -36.946996 -37.900945
4566.67 0 -1.5 -37.272177 -38.186242
4566.67 0.5 -1.5 -37.286061 -38.165643
4566.67 1 -1.5 -37.293299 -38.147036
4566.67 1.5 -1.5 -37.295591 -38.131827
4566.67 2 -1.5 -37.295261 -38.120634
4566.67 2.5 -1.5 -37.294631 -38.113943
4566.67 3 -1.5 -37.295256 -38.112186
4566.67 3.5 -1.5 -37.297833 -38.115401
4566.67 4 -1.5 -37.302297 -38.124599
4566.67 4.5 -1.5 -37.309401 -38.142449
4566.67 5 -1.5 -37.317307 -38.162631
4833.33 0 -1.5 -37.639991 -38.442879
4833.33 0.5 -1.5 -37.640797 -38.423436
4833.33 1 -1.5 -37.639384 -38.406106
4833.33 1.5 -1.5 -37.636232 -38.391534
4833.33 2 -1.5 -37.632622 -38.380314
4833.33 2.5 -1.5 -37.629934 -38.372888
4833.33 3 -1.5 -37.629647 -38.370349
4833.33 3.5 -1.5 -37.63184 -38.372142
4833.33 4 -1.5 -37.636011 -38.378255
4833.33 4.5 -1.5 -37.641732 -38.388983
4833.33 5 -1.5 -37.648361 -38.402888
5100 0 -1.5 -37.960311 -38.661647
5100 0.5 -1.5 -37.95187 -38.64337
5100 1 -1.5 -37.943132 -38.627318
5100 1.5 -1.5 -37.934355 -38.613689
5100 2 -1.5 -37.92641 -38.602722
5100 2.5 -1.5 -37.920597 -38.595249
5100 3 -1.5 -37.918095 -38.59211
5100 3.5 -1.5 -37.919284 -38.593352
5100 4 -1.5 -37.923941 -38.599348
5100 4.5 -1.5 -37.930296 -38.608668
5100 5 -1.5 -37.937795 -38.620736
5366.67 0 -1.5 -38.242236 -38.854033
5366.67 0.5 -1.5 -38.228677 -38.837816
5366.67 1 -1.5 -38.215203 -38.823154
5366.67 1.5 -1.5 -38.201881 -38.810097
5366.67 2 -1.5 -38.189552 -38.79895
5366.67 2.5 -1.5 -38.179321 -38.790498
5366.67 3 -1.5 -38.172618 -38.785556
5366.67 3.5 -1.5 -38.170954 -38.785582
5366.67 4 -1.5 -38.174245 -38.790732
5366.67 4.5 -1.5 -38.180877 -38.800095
5366.67 5 -1.5 -38.189309 -38.812004
5633.33 0 -1.5 -38.494451 -39.025972
5633.33 0.5 -1.5 -38.478966 -39.013129
5633.33 1 -1.5 -38.4632 -39.000622
5633.33 1.5 -1.5 -38.447098 -38.988641
5633.33 2 -1.5 -38.431168 -38.97741
5633.33 2.5 -1.5 -38.416431 -38.967519
5633.33 3 -1.5 -38.404677 -38.960225
5633.33 3.5 -1.5 -38.39781 -38.957171
5633.33 4 -1.5 -38.39692 -38.959404
5633.33 4.5 -1.5 -38.401819 -38.967464
5633.33 5 -1.5 -38.410013 -38.979185
5900 0 -1.5 -38.722442 -39.180284
5900 0.5 -1.5 -38.708067 -39.172405
5900 1 -1.5 -38.692105 -39.163119
5900 1.5 -1.5 -38.674808 -39.15311
5900 2 -1.5 -38.656642 -39.142551
5900 2.5 -1.5 -38.638501 -39.132018
5900 3 -1.5 -38.6221 -39.122816
5900 3.5 -1.5 -38.609328 -39.116225
5900 4 -1.5 -38.602563 -39.114562
5900 4.5 -1.5 -38.602687 -39.118832
5900 5 -1.5 -38.60844 -39.128655
6166.67 0 -1.5 -37.607458 -38.040854
6166.67 0.5 -1.5 -38.918283 -39.316773
6166.67 1 -1.5 -38.904387 -39.312045
6166.67 1.5 -1.5 -38.887507 -39.304903
6166.67 2 -1.5 -38.868495 -39.29598
6166.67 2.5 -1.5 -38.848189 -39.285909
6166.67 3 -1.5 -38.828204 -39.275682
6166.67 3.5 -1.5 -38.810478 -39.266721
6166.67 4 -1.5 -38.797454 -39.261221
6166.67 4.5 -1.5 -38.791029 -39.26071
6166.67 5 -1.5 -38.792032 -39.266657
