CMDLINE /usr/bin/python3.5 cancamb_lens.py
MEM 6.468750 1558728487.7574
MEM 12.785156 1558728487.8578
MEM 18.871094 1558728487.9608
MEM 22.617188 1558728488.0648
MEM 30.562500 1558728488.1652
MEM 31.269531 1558728488.2655
MEM 44.789062 1558728488.3658
MEM 51.316406 1558728488.4662
MEM 58.339844 1558728488.5665
MEM 65.964844 1558728488.6669
MEM 66.691406 1558728488.7672
MEM 66.773438 1558728488.8676
MEM 66.773438 1558728488.9680
MEM 66.976562 1558728489.0684
MEM 68.792969 1558728489.1768
MEM 73.042969 1558728489.2772
MEM 88.445312 1558728489.3848
MEM 132.015625 1558728489.4852
MEM 132.015625 1558728489.5888
MEM 132.015625 1558728489.6892
MEM 132.257812 1558728489.7895
MEM 132.257812 1558728489.9008
MEM 132.257812 1558728490.0048
MEM 132.257812 1558728490.1088
MEM 132.257812 1558728490.2128
MEM 132.257812 1558728490.3168
MEM 132.257812 1558728490.4208
MEM 132.257812 1558728490.5248
MEM 132.257812 1558728490.6288
MEM 132.257812 1558728490.7292
MEM 132.257812 1558728490.8296
MEM 132.257812 1558728490.9299
MEM 132.257812 1558728491.0303
MEM 132.257812 1558728491.1307
MEM 132.257812 1558728491.2310
MEM 132.257812 1558728491.3314
MEM 132.257812 1558728491.4318
MEM 132.257812 1558728491.5322
MEM 132.257812 1558728491.6325
MEM 132.257812 1558728491.7329
MEM 132.257812 1558728491.8333
MEM 132.257812 1558728491.9337
MEM 132.257812 1558728492.0341
MEM 132.257812 1558728492.1344
MEM 132.257812 1558728492.2348
MEM 132.257812 1558728492.3408
MEM 132.257812 1558728492.4412
MEM 132.257812 1558728492.5488
MEM 132.257812 1558728492.6492
MEM 132.257812 1558728492.7528
MEM 132.257812 1558728492.8532
MEM 132.257812 1558728492.9609
MEM 132.257812 1558728493.0688
MEM 132.257812 1558728493.1692
MEM 132.257812 1558728493.2808
MEM 132.257812 1558728493.3889
MEM 132.257812 1558728493.4928
MEM 132.257812 1558728493.6008
MEM 132.257812 1558728493.7048
MEM 132.257812 1558728493.8088
MEM 132.257812 1558728493.9092
MEM 132.257812 1558728494.0096
MEM 132.257812 1558728494.1099
MEM 132.257812 1558728494.2103
MEM 132.257812 1558728494.3107
MEM 132.257812 1558728494.4111
MEM 132.257812 1558728494.5114
MEM 132.257812 1558728494.6118
MEM 132.257812 1558728494.7122
MEM 132.257812 1558728494.8126
MEM 132.257812 1558728494.9130
MEM 132.257812 1558728495.0134
MEM 132.257812 1558728495.1137
MEM 132.257812 1558728495.2168
MEM 132.257812 1558728495.3173
MEM 132.257812 1558728495.4208
MEM 132.257812 1558728495.5212
MEM 132.257812 1558728495.6216
MEM 132.257812 1558728495.7220
MEM 132.257812 1558728495.8224
MEM 132.515625 1558728495.9288
MEM 132.515625 1558728496.0292
MEM 132.515625 1558728496.1296
MEM 132.515625 1558728496.2299
MEM 132.515625 1558728496.3303
MEM 132.515625 1558728496.4332
MEM 132.515625 1558728496.5408
MEM 132.515625 1558728496.6449
MEM 132.515625 1558728496.7489
MEM 132.515625 1558728496.8492
MEM 132.515625 1558728496.9496
MEM 132.515625 1558728497.0505
MEM 132.515625 1558728497.1515
MEM 132.515625 1558728497.2524
MEM 132.515625 1558728497.3533
MEM 132.515625 1558728497.4539
MEM 132.515625 1558728497.5547
MEM 132.515625 1558728497.6554
MEM 132.515625 1558728497.7564
MEM 132.515625 1558728497.8573
MEM 132.515625 1558728497.9582
MEM 132.515625 1558728498.0592
MEM 132.515625 1558728498.1606
MEM 132.515625 1558728498.2675
MEM 132.515625 1558728498.3682
MEM 132.515625 1558728498.4686
MEM 132.515625 1558728498.5690
MEM 132.515625 1558728498.6695
MEM 132.515625 1558728498.7699
MEM 132.515625 1558728498.8703
MEM 132.515625 1558728498.9707
MEM 132.515625 1558728499.0712
MEM 132.515625 1558728499.1716
MEM 132.515625 1558728499.2720
MEM 132.515625 1558728499.3724
MEM 132.515625 1558728499.4728
MEM 132.515625 1558728499.5732
MEM 132.515625 1558728499.6763
MEM 132.515625 1558728499.7787
MEM 132.515625 1558728499.8797
MEM 132.515625 1558728499.9823
MEM 132.515625 1558728500.0828
MEM 132.515625 1558728500.1832
MEM 132.515625 1558728500.2856
MEM 132.515625 1558728500.3861
MEM 132.515625 1558728500.4865
MEM 132.515625 1558728500.5869
MEM 132.515625 1558728500.6891
MEM 132.515625 1558728500.7918
MEM 132.515625 1558728500.8928
MEM 132.515625 1558728500.9936
MEM 132.515625 1558728501.0953
MEM 132.515625 1558728501.1963
MEM 132.515625 1558728501.2971
MEM 132.515625 1558728501.3976
MEM 132.515625 1558728501.4982
MEM 132.515625 1558728501.5986
MEM 132.515625 1558728501.6990
MEM 132.515625 1558728501.7994
MEM 132.515625 1558728501.8998
MEM 132.515625 1558728502.0002
MEM 132.515625 1558728502.1006
MEM 132.515625 1558728502.2010
MEM 132.515625 1558728502.3122
MEM 132.515625 1558728502.4127
MEM 132.515625 1558728502.5131
MEM 132.515625 1558728502.6135
MEM 132.515625 1558728502.7141
MEM 132.515625 1558728502.8146
MEM 132.515625 1558728502.9151
MEM 132.515625 1558728503.0159
MEM 132.515625 1558728503.1166
MEM 132.515625 1558728503.2172
MEM 132.515625 1558728503.3181
MEM 132.515625 1558728503.4189
MEM 132.515625 1558728503.5198
MEM 132.515625 1558728503.6206
MEM 132.515625 1558728503.7216
MEM 132.515625 1558728503.8226
MEM 132.515625 1558728503.9234
MEM 132.515625 1558728504.0243
MEM 132.515625 1558728504.1252
MEM 132.515625 1558728504.2368
MEM 132.515625 1558728504.3372
MEM 132.515625 1558728504.4381
MEM 154.019531 1558728504.5390
MEM 191.917969 1558728504.6395
MEM 199.652344 1558728504.7399
MEM 211.769531 1558728504.8404
MEM 223.113281 1558728504.9408
MEM 235.488281 1558728505.0412
MEM 247.089844 1558728505.1416
MEM 257.402344 1558728505.2420
MEM 268.230469 1558728505.3424
MEM 276.222656 1558728505.4429
MEM 283.957031 1558728505.5433
MEM 313.089844 1558728505.6437
MEM 351.503906 1558728505.7441
MEM 351.503906 1558728505.8480
MEM 351.503906 1558728505.9523
MEM 351.503906 1558728506.0559
MEM 351.503906 1558728506.1592
MEM 351.503906 1558728506.2633
MEM 351.503906 1558728506.3638
MEM 351.503906 1558728506.4642
MEM 351.503906 1558728506.5647
MEM 351.503906 1558728506.6652
MEM 351.503906 1558728506.7656
MEM 351.503906 1558728506.8695
MEM 351.503906 1558728506.9700
MEM 351.503906 1558728507.0705
MEM 351.503906 1558728507.1740
MEM 351.503906 1558728507.2794
MEM 351.503906 1558728507.3805
